language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
haka1240,-,-,-,-,-,-,-,-,-,-,-,l,u,u,-,N,-,-,-,-,-,-,-,-,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,-,-,l,-,u,-,N,-,-,-,-,-,-,-,-,-,-,-
karb1241,i,n,g,N,t,-,-,-,-,-,-,h,-,i,-,n,-,-,-,-,-,-,-,-,-,-,-
khal1275,-,-,-,-,t,-,-,-,-,-,-,s,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
thul1246,-,-,-,-,t,-,-,-,-,-,-,h,-,3,-,m,-,b,o,-,-,-,-,o,k,-,-
kulu1253,-,-,-,-,t,-,-,-,-,-,-,S,-,o,-,-,-,w,a,-,-,-,-,-,-,-,-
bahi1252,-,-,-,-,t,-,-,-,-,-,-,h,-,i,-,m,-,s,-,-,-,-,-,i,t,s,i
limb1266,-,-,-,-,-,-,-,-,-,-,-,l,-,u,N,m,-,-,a,-,-,-,-,-,-,-,-
bant1281,-,-,-,-,t,-,-,-,-,-,-,s,-,u,w,-,-,-,a,-,-,-,-,-,-,-,-
chep1245,-,-,-,-,-,-,-,-,-,-,-,h,l,u,-,N,-,-,-,-,-,-,-,-,-,-,-
wayu1241,-,-,-,-,t,-,-,-,-,-,-,h,-,u,-,m,-,-,-,-,-,-,-,-,-,-,-
lash1243,-,-,-,-,n,-,-,-,-,3,k,l,-,o,-,m,-,-,-,-,-,-,-,-,-,-,-
zaiw1241,-,-,-,-,n,-,-,-,-,i,k,l,-,u,-,m,-,-,-,-,-,-,-,-,-,-,-
maru1249,-,-,-,-,n,-,-,-,-,a,k,l,-,a,-,m,-,-,-,-,-,-,-,-,-,-,-
pela1242,-,-,-,-,n,-,-,-,-,a,k,l,-,a,-,m,-,-,-,-,-,-,-,-,-,-,-
acha1249,-,-,-,-,n,y,-,-,-,a,-,l,-,u,-,m,-,-,-,-,-,-,-,-,-,-,-
nucl1310,-,-,-,-,n,-,-,-,-,o,-,l,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-
lisu1250,-,-,-,-,n,-,-,-,-,-,-,-,-,i,-,m,-,-,o,-,-,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,r,-,u,-,m,-,-,E,-,-,-,-,-,7,-,-
japh1234,-,-,-,-,t,-,-,-,-,u,-,s,n,i,-,-,-,-,-,-,-,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,-,S,n,E,-,-,-,-,-,-,-,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,-,-,-,-,n,E,-,-,-,-,-,-,-,-,-,-,-,-,-
tsha1245,-,-,-,-,t,-,-,-,-,-,-,h,-,i,N,l,-,o,o,-,-,-,-,-,m,-,-
byan1241,-,-,-,-,-,-,-,-,-,-,-,S,-,i,-,s,-,-,o,-,-,-,-,-,-,-,-
rong1264,-,-,-,-,-,-,-,-,-,-,-,S,-,u,a,S,-,-,a,-,-,-,-,-,-,-,-
rong1264,-,-,-,-,-,-,-,-,-,-,-,d,-,i,-,l,-,-,-,-,-,-,-,-,-,-,-
gahr1239,-,-,-,-,-,-,-,-,-,-,-,S,-,o,o,S,-,-,a,-,-,-,-,-,-,-,-
idum1241,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,p,-,o,o,-,b,r,-,o,-,-,-
diga1241,-,-,-,-,-,-,-,-,-,-,-,x,-,o,-,p,-,o,o,-,-,t,i,o,i,-,-
boka1249,-,-,-,-,-,-,-,-,-,-,-,h,-,o,-,-,-,-,o,N,p,-,-,u,k,-,-
garo1247,-,-,-,-,k,-,-,-,-,a,7,r,o,o,-,N,t,-,i,-,-,-,-,-,-,-,-
rabh1238,-,-,-,-,k,h,a,a,p,a,k,t,u,u,-,-,t,S,i,-,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,-,-,S,-,i,u,m,-,-,-,-,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,-,-,s,-,i,-,n,-,-,-,-,-,-,-,-,-,-,-
