language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
khal1275,-,d,h,i,r,-,i,d,-,-,-,-,h,-,i,-
thul1246,-,d,-,i,r,-,i,d,-,-,-,-,-,-,i,n
bant1281,-,-,y,a,N,w,a,m,-,-,-,-,-,-,a,-
oldb1235,-,-,p,-,-,-,a,n,-,-,n,-,l,a,i,-
nucl1310,-,-,p,-,-,-,i,-,-,-,-,-,l,E,-,-
lash1243,-,k,y,e,-,-,i,m,-,-,-,-,-,-,3,N
zaiw1241,-,-,v,u,-,-,i,m,-,-,-,-,-,-,i,N
acha1249,-,-,n,a,-,-,-,m,-,-,t,-,S,-,u,-
lisu1250,-,-,l,u,-,-,-,b,-,-,-,-,-,-,e,-
jing1260,-,-,p,-,-,-,a,N,-,-,-,-,l,a,i,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,s,-,u,-
haka1240,-,-,r,-,-,-,i,-,-,-,-,-,l,-,i,-
karb1241,-,-,t,-,-,-,a,-,-,-,-,-,l,o,o,-
horp1240,-,-,-,-,-,-,-,m,-,-,t,s,h,-,u,-
eree1240,-,r,T,-,-,-,o,m,-,-,t,s,h,-,u,-
japh1234,-,r,T,-,-,-,o,m,-,-,t,s,h,-,u,-
situ1238,-,r,T,y,-,-,a,m,-,-,t,s,h,-,o,-
zhab1238,-,-,T,y,-,-,a,m,-,-,t,s,h,-,u,-
tang1334,-,N,y,-,-,-,o,-,-,-,-,-,-,-,o,w
byan1241,-,-,s,-,-,-,a,m,u,n,d,-,r,-,o,-
rong1264,-,-,s,-,-,-,3,m,u,n,d,3,r,-,-,-
gahr1239,-,-,-,-,-,-,-,-,-,-,t,s,h,-,o,-
clas1254,r,g,y,-,-,-,a,m,-,-,t,s,h,-,o,-
amdo1237,-,d,Z,-,-,-,a,m,-,-,t,s,h,-,o,-
amdo1237,r,d,Z,-,-,-,a,m,-,-,t,s,h,-,o,-
utsa1239,-,-,T,-,-,-,a,-,-,-,t,s,h,o,o,-
kham1282,-,d,Z,-,-,-,a,-,-,-,t,s,h,-,u,-
tsha1245,-,d,Z,-,-,-,a,m,-,-,t,s,h,-,o,-
idum1241,-,-,t,u,-,w,i,-,-,-,-,-,-,-,-,-
diga1241,-,-,t,u,r,u,i,-,-,-,d,u,r,-,u,N
boka1249,-,-,S,-,-,-,i,-,-,-,t,-,-,-,3,-
oldc1244,-,-,-,-,-,-,-,m,-,-,-,-,-,-,3,7
