language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
haka1240,-,-,k,-,-,-,-,-,-,u,-,t,-,-
lush1249,-,-,k,-,-,-,-,-,-,u,-,t,-,-
karb1241,-,-,b,-,-,-,-,-,e,e,-,-,-,-
khal1275,-,-,k,-,-,-,-,-,h,o,-,r,-,-
thul1246,-,-,l,-,-,-,-,-,w,a,-,-,-,-
bahi1252,-,-,g,-,-,-,-,-,-,i,-,-,-,-
limb1266,-,-,-,-,-,-,-,-,h,u,-,k,-,-
bant1281,t,-,s,-,-,-,-,-,h,u,-,k,k,a
chep1245,-,-,k,-,-,-,-,-,r,u,-,t,-,-
wayu1241,-,-,g,-,-,-,-,-,-,o,o,t,-,-
lash1243,-,-,l,-,-,-,-,-,-,o,-,7,-,-
zaiw1241,-,-,l,-,-,-,-,-,o,o,-,7,-,-
maru1249,-,-,l,-,-,-,-,-,-,o,-,7,-,-
pela1242,-,-,l,-,-,-,-,-,-,a,-,7,-,-
acha1249,-,-,l,-,-,-,-,-,-,o,-,7,-,-
nucl1310,-,-,l,-,-,-,-,-,-,E,-,7,-,-
lisu1250,-,-,l,-,-,-,-,-,-,E,p,h,-,E
drun1238,-,-,-,-,-,-,-,-,-,u,-,r,-,-
japh1234,t,u,y,-,-,-,-,-,-,a,-,X,-,-
situ1238,t,a,y,-,-,-,-,-,-,a,-,k,-,-
zhab1238,-,-,y,-,a,-,-,-,p,a,-,-,-,-
amdo1237,-,-,l,-,a,-,X,k,w,a,-,-,-,-
amdo1237,-,-,l,-,o,o,k,k,w,E,-,-,-,-
kham1282,-,-,l,-,a,-,-,-,p,a,-,-,-,-
tsha1245,-,-,g,-,a,-,-,-,d,a,-,N,-,-
byan1241,-,-,l,-,a,-,-,-,-,a,-,-,-,-
rong1264,-,-,l,-,-,-,-,-,-,a,-,g,-,-
gahr1239,-,-,l,-,-,-,-,-,-,a,-,k,-,-
idum1241,k,o,t,i,o,-,-,-,-,o,-,-,-,-
diga1241,-,o,t,i,o,-,-,-,-,o,-,-,-,-
boka1249,-,a,l,-,o,-,-,-,-,o,-,k,-,-
garo1247,-,-,y,-,-,-,-,-,-,a,-,k,-,-
rabh1238,-,-,t,-,a,-,-,-,-,a,-,s,-,i
hakk1236,-,-,S,-,-,-,-,-,-,u,-,-,-,-
hakk1236,-,-,s,-,-,-,-,-,-,u,-,-,-,-
