language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
haka1240,-,-,-,-,-,-,-,f,-,-,-,i,-,-,-,-,r,-
lush1249,-,-,-,-,-,-,-,r,-,-,-,u,-,-,-,-,-,-
karb1241,-,i,n,g,-,N,-,h,-,-,-,u,-,-,-,-,-,-
khal1275,-,-,-,k,-,-,-,h,-,-,-,e,-,-,-,-,-,-
thul1246,-,-,-,k,-,-,-,h,-,-,-,u,-,-,-,-,-,-
kulu1253,-,-,-,k,-,-,-,h,-,-,-,u,-,-,-,-,m,a
bahi1252,-,-,-,k,-,-,-,-,-,-,-,i,-,-,-,-,-,-
limb1266,-,-,-,k,-,-,-,h,-,-,-,u,-,-,-,t,t,-
bant1281,-,-,-,k,-,-,-,h,-,-,-,3,-,-,-,-,s,-
chep1245,-,-,-,k,-,-,-,-,-,-,-,u,-,-,-,-,7,-
lash1243,-,-,-,k,-,-,-,h,-,-,a,u,-,-,-,-,-,-
zaiw1241,-,-,-,k,-,-,-,h,-,-,a,u,-,-,-,-,-,-
maru1249,-,-,-,k,-,-,-,h,-,-,-,u,-,-,-,-,k,-
pela1242,-,-,-,k,-,-,-,h,-,-,a,u,-,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,x,-,-,a,u,-,-,-,-,-,-
nucl1310,-,-,-,k,-,-,-,h,-,-,o,o,-,-,-,-,-,-
lisu1250,-,-,-,k,-,-,-,h,-,-,-,u,-,-,-,-,-,-
drun1238,-,-,-,k,-,-,-,-,-,-,-,u,-,-,-,-,-,-
japh1234,m,u,r,k,-,-,-,-,-,-,-,u,-,-,-,-,-,-
situ1238,-,-,-,k,o,n,3,S,-,-,m,o,-,-,-,-,-,-
zhab1238,-,-,-,m,-,-,3,-,-,-,m,a,-,-,-,-,-,-
amdo1237,-,-,r,k,-,-,-,-,-,-,-,3,-,-,-,-,-,-
amdo1237,-,-,h,k,-,-,-,-,-,-,-,i,-,-,-,-,-,-
amdo1237,-,-,h,k,-,-,-,-,-,-,-,3,-,-,-,-,-,-
kham1282,-,-,-,k,-,-,-,-,-,-,-,u,-,y,e,-,7,-
tsha1245,-,-,d,Z,-,-,-,-,-,-,-,o,o,p,e,n,7,a
byan1241,-,-,-,k,-,-,-,h,-,-,-,u,-,-,-,-,m,o
gahr1239,-,-,-,k,-,-,-,-,-,-,-,u,-,-,-,-,-,-
idum1241,-,-,o,k,-,-,-,-,-,-,-,u,-,-,-,-,-,-
diga1241,-,-,o,k,-,-,-,-,-,-,-,o,-,-,-,-,n,-
boka1249,p,y,o,-,-,-,-,-,-,-,-,o,-,-,-,-,N,-
garo1247,-,-,-,T,-,-,-,h,t,s,o,o,-,-,-,-,l,a
rabh1238,-,-,-,m,-,-,e,x,-,-,-,o,-,-,-,-,-,i
hakk1236,-,-,-,t,-,-,-,h,-,-,i,u,-,-,-,-,-,-
hakk1236,-,-,-,t,-,-,-,h,-,-,i,u,-,-,-,-,-,-
