language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
haka1240,-,-,-,-,-,-,-,-,-,-,z,-,-,u,-,-,u,-,-,-,-,u,-
lush1249,-,-,-,-,-,-,-,-,-,-,s,-,-,a,-,-,z,-,-,-,-,u,-
karb1241,-,-,-,-,-,-,-,-,-,-,y,-,-,u,-,k,i,n,g,N,s,o,-
khal1275,-,-,-,-,-,-,-,-,7,i,s,-,p,-,-,-,-,-,-,-,-,3,-
thul1246,-,-,-,-,-,-,-,-,d,-,z,-,-,-,-,-,-,-,-,-,-,a,l
kulu1253,-,-,-,-,-,-,-,-,t,-,S,-,h,u,-,-,w,-,-,-,-,i,-
bahi1252,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,i,-
limb1266,-,-,-,-,-,-,-,-,-,-,s,-,-,u,-,-,b,-,-,-,-,a,-
bant1281,-,-,-,-,-,-,-,-,t,-,s,-,-,3,-,k,y,-,-,-,-,3,-
chep1245,-,-,-,-,-,-,-,-,-,-,r,-,-,o,o,k,y,-,-,-,-,u,7
wayu1241,-,-,-,-,-,-,-,-,t,-,s,-,-,u,-,7,y,-,-,-,-,u,-
lash1243,-,-,-,-,-,-,-,-,k,-,y,-,-,i,-,-,n,-,-,-,-,o,7
zaiw1241,-,-,-,-,-,-,-,-,N,-,-,-,-,e,-,-,n,-,-,-,o,o,7
maru1249,-,-,-,-,-,-,-,-,x,-,-,-,-,u,-,k,n,-,-,-,-,o,7
pela1242,-,-,-,-,-,-,-,-,x,-,-,-,-,o,-,7,n,-,-,-,-,a,7
acha1249,-,-,-,-,-,-,-,-,k,-,Z,-,-,o,-,-,-,-,-,-,-,o,7
nucl1310,-,-,-,-,-,-,-,-,t,-,S,-,-,w,-,-,-,-,-,-,-,E,7
lisu1250,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,E,-
drun1238,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,u,t
japh1234,-,-,-,-,-,b,-,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,u,-
situ1238,-,-,-,-,-,p,-,3,-,-,y,-,-,-,-,-,-,-,-,-,-,u,-
zhab1238,-,-,Z,-,a,p,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,a,-
amdo1237,-,-,-,-,-,-,-,-,t,-,s,-,-,3,-,x,-,-,-,-,-,3,-
amdo1237,-,-,-,-,-,-,-,-,t,-,s,-,-,3,-,x,-,-,-,-,-,3,-
kham1282,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,o,-
tsha1245,-,-,-,-,-,-,-,-,p,-,h,i,y,a,-,k,p,-,-,-,-,a,-
byan1241,-,-,n,-,i,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-
byan1241,-,-,d,-,u,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-
rong1264,-,-,n,-,i,b,-,-,t,-,S,-,-,-,-,-,-,-,-,-,-,a,-
gahr1239,-,-,-,-,-,p,y,u,t,-,s,-,-,-,-,-,-,-,-,-,-,i,-
idum1241,-,-,k,-,o,-,-,-,t,-,S,-,-,-,-,-,-,-,-,-,-,i,-
diga1241,-,-,k,-,o,-,-,-,t,-,S,-,-,-,-,-,-,-,-,-,-,i,-
boka1249,-,-,k,-,u,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,N
boka1249,r,o,k,-,u,N,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,u,N
garo1247,-,-,m,-,e,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,e,-
rabh1238,-,-,m,-,o,-,-,o,t,-,S,-,-,o,-,-,-,-,-,-,-,o,-
hakk1236,-,-,l,o,o,-,-,-,t,-,S,-,-,-,-,h,-,-,-,-,-,u,-
hakk1236,-,-,l,a,u,-,-,-,t,-,s,-,-,-,-,h,-,-,-,-,-,u,-
