language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
haka1240,-,-,v,-,u,-,-,-,-,-,-,-,u,-,-,n,-,-,-,-,-
haka1240,-,p,h,-,o,o,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
lush1249,-,-,p,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-
lush1249,-,-,v,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-,-,-
karb1241,-,-,r,-,e,-,-,-,-,-,-,-,e,-,-,n,-,-,g,N,-
khal1275,-,-,s,-,o,-,-,-,k,-,-,-,o,-,-,-,-,-,-,-,-
thul1246,-,-,k,-,o,o,-,-,k,t,-,-,e,-,-,-,-,-,-,-,-
kulu1253,-,-,s,-,o,-,-,-,k,-,-,-,o,w,a,r,-,-,-,-,-
bahi1252,-,-,k,-,o,o,-,-,k,t,-,-,e,-,-,-,-,-,-,-,-
limb1266,-,-,h,-,o,o,r,i,k,-,-,-,-,-,-,-,-,-,-,-,-
bant1281,-,-,h,-,o,o,-,-,k,w,-,-,a,-,-,-,-,-,-,-,-
chep1245,-,-,p,-,u,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-
wayu1241,-,-,k,-,u,-,-,-,k,t,s,h,o,-,-,-,-,-,-,-,-
lash1243,-,-,S,-,o,-,-,-,k,-,-,-,u,-,-,k,-,-,-,-,-
zaiw1241,-,-,S,-,o,-,-,-,k,-,-,-,u,-,-,7,-,-,-,-,-
maru1249,-,-,S,-,o,-,-,-,y,-,-,a,-,-,-,m,-,-,-,-,-
pela1242,-,-,S,-,a,-,-,-,k,-,-,a,u,-,-,7,-,-,-,-,-
nucl1310,o,t,8,-,o,-,-,-,-,-,-,-,o,-,-,y,-,-,-,e,-
lisu1250,-,-,k,-,o,-,-,-,-,-,-,-,o,d,-,Z,-,-,-,i,-
drun1238,-,-,p,-,-,-,-,-,-,-,-,-,u,-,-,n,-,-,-,-,-
japh1234,-,-,t,-,u,-,-,-,n,d,Z,-,i,-,-,-,-,-,-,-,-
situ1238,-,-,t,-,3,-,-,-,n,d,Z,-,i,-,-,-,-,-,-,-,-
zhab1238,-,-,t,S,o,-,-,-,-,t,S,-,a,-,-,-,-,-,-,-,-
amdo1237,-,-,h,-,-,-,-,-,-,t,S,-,3,-,-,m,o,-,-,-,-
kham1282,-,-,x,-,-,-,-,-,-,-,h,-,a,-,-,p,o,-,-,-,-
tsha1245,-,-,m,-,-,-,-,-,-,-,-,-,o,-,-,-,o,N,n,a,N
byan1241,-,-,b,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-
rong1264,-,-,l,o,o,-,-,-,-,t,-,-,o,-,-,-,-,-,-,-,-
rong1264,-,-,-,-,-,-,-,-,-,t,S,-,a,-,-,m,-,-,-,-,-
gahr1239,-,-,b,-,a,-,-,-,-,t,s,-,i,-,-,-,-,-,-,-,-
idum1241,-,-,k,-,o,o,-,-,p,r,-,-,o,-,-,-,-,-,-,-,-
diga1241,-,-,k,-,o,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
boka1249,-,-,-,-,-,a,-,-,p,-,-,-,i,-,-,n,-,-,-,-,-
garo1247,-,-,b,-,-,i,-,-,-,g,-,-,i,-,-,l,-,-,-,-,-
rabh1238,-,k,h,-,o,o,-,-,r,t,h,-,a,-,-,p,-,-,-,-,-
hakk1236,-,p,h,-,i,-,-,-,f,-,-,-,u,-,-,-,-,-,-,-,-
hakk1236,-,p,h,-,i,-,-,-,f,-,-,-,u,-,-,-,-,-,-,-,-
