language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
haka1240,-,-,-,7,-,-,u,u,i,i,-,l,i,i,i,-,-,-,-,-,-,-,-
lush1249,-,-,-,-,-,-,u,-,-,i,-,l,-,-,i,-,-,-,-,-,-,-,-
karb1241,T,-,-,h,-,t,s,-,-,i,k,l,-,-,i,-,-,-,-,-,-,-,-
khal1275,-,-,-,-,-,t,s,-,-,o,-,k,-,-,o,-,-,-,-,p,-,E,-
thul1246,-,-,-,-,-,t,s,-,-,i,-,k,-,-,i,-,-,-,-,p,-,a,-
kulu1253,-,-,-,-,-,t,S,-,-,i,-,k,-,-,i,-,-,-,p,p,-,a,-
limb1266,-,-,-,-,-,-,-,-,-,-,-,s,-,-,i,-,-,-,-,p,t,o,k
bant1281,-,-,-,-,-,-,-,-,-,-,-,k,-,-,i,-,-,-,p,p,-,a,-
chep1245,-,-,-,-,-,-,h,-,y,u,N,7,-,-,-,-,-,-,-,-,-,-,-
wayu1241,r,i,7,m,i,t,s,-,-,-,-,-,-,-,-,-,-,-,-,h,-,i,N
lash1243,-,-,-,-,-,k,h,-,-,u,k,l,e,-,i,-,-,-,-,-,-,-,-
zaiw1241,-,-,-,-,-,k,h,-,-,e,-,l,a,-,i,-,-,-,-,-,-,-,-
maru1249,-,-,-,-,-,k,h,-,-,3,-,l,-,-,a,-,-,-,-,-,-,-,-
pela1242,-,-,-,-,-,k,h,-,-,3,-,l,u,-,i,-,-,-,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,-,l,-,-,i,-,-,-,-,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,-,-,L,-,-,e,-,-,-,-,-,-,-,-
lisu1250,-,-,-,-,-,k,h,-,-,u,-,x,u,t,u,-,-,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,s,-,-,u,-,l,-,-,i,-,-,-,-,-,-,-,-
japh1234,-,-,-,m,-,d,z,-,-,a,-,d,-,-,i,-,-,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,s,-,-,o,p,h,-,-,i,-,-,-,-,-,-,-,-
amdo1237,-,-,-,x,-,d,Z,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
amdo1237,-,-,-,-,-,d,Z,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
kham1282,-,-,-,-,-,d,Z,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
byan1241,-,-,-,m,3,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
gahr1239,-,-,-,m,u,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,k
idum1241,-,-,-,-,-,t,S,-,h,u,-,h,o,-,o,-,-,-,-,-,-,-,N
diga1241,-,-,-,-,-,t,s,-,h,u,-,w,-,-,u,-,-,-,-,-,-,-,n
boka1249,-,-,-,-,-,t,-,-,-,e,-,-,-,-,i,-,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,t,h,-,-,-,-,-,-,-,i,o,o,t,s,h,o,o,-
hakk1236,-,-,-,-,-,-,s,-,-,-,-,-,-,-,i,-,-,t,-,m,-,a,-
