language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
haka1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,e,r,t,e,-
lush1249,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,u,N,p,i,-,-,-,-
lush1249,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,N,m,i,r,-,-,-
karb1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,i,s,o,o,-
khal1275,-,-,-,-,k,h,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,e,-,m,-,-,-,-,-
thul1246,-,-,-,-,k,h,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,e,-,m,-,-,-,-,-
kulu1253,-,-,-,-,k,h,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,e,-,m,-,-,-,-,-
bahi1252,-,-,-,-,g,-,-,-,-,a,-,-,-,-,t,-,s,-,-,-,-,-,-,-,-,-,i,N,m,-,-,-,a,-
limb1266,-,s,i,-,k,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,m,-,p,-,a,-
bant1281,t,s,3,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,y,-,a,N
chep1245,-,-,-,-,k,-,-,-,-,o,-,-,-,o,N,-,r,-,-,-,-,-,-,-,o,-,o,-,k,-,-,-,-,-
wayu1241,t,s,i,-,k,-,-,-,-,i,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,u,-,7,-,l,-,a,-
lash1243,-,-,-,-,l,-,-,-,-,a,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,E,-,t,-,-,-,-,-
zaiw1241,-,-,-,-,p,-,-,-,-,a,-,-,-,u,-,-,v,-,-,-,-,-,-,-,o,-,o,-,7,-,-,-,-,-
maru1249,p,-,-,-,h,-,-,-,-,3,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,u,-,k,-,-,-,-,-
pela1242,p,-,-,-,h,-,-,-,-,3,-,-,-,-,-,-,x,-,-,-,-,-,-,-,-,-,o,-,7,-,-,-,-,-
acha1249,t,S,-,-,h,-,-,-,-,i,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,n,-,-,-,-,-
nucl1310,-,-,-,-,p,-,-,-,-,o,y,-,w,E,7,s,h,-,-,-,-,-,-,-,-,-,e,-,7,-,-,-,-,-
lisu1250,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
drun1238,-,-,-,-,S,-,-,-,-,u,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,7,-,-,-,-,-
japh1234,-,-,-,-,q,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
situ1238,-,-,-,-,k,h,-,-,-,o,-,-,-,o,-,-,r,-,-,-,-,-,-,-,-,-,o,o,k,-,-,-,-,-
zhab1238,-,-,-,-,p,-,-,-,-,o,-,-,-,o,-,-,Z,-,-,-,-,-,-,-,-,-,o,o,-,-,-,-,-,-
amdo1237,-,-,-,-,T,S,-,-,-,o,-,-,-,o,-,-,k,-,-,-,-,-,-,m,-,-,E,-,-,-,-,-,-,-
amdo1237,m,b,3,-,t,S,-,-,-,-,-,-,-,a,-,-,X,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-
kham1282,-,-,-,-,d,Z,a,d,Z,o,-,-,-,o,-,-,7,-,-,t,S,-,u,m,-,-,a,-,-,-,-,-,-,-
tsha1245,-,-,-,-,k,h,-,-,-,a,N,d,Z,i,-,-,l,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
byan1241,-,n,o,N,k,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
rong1264,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,m,3,l,a,-,-,-,-,-,-,-
gahr1239,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-,r,-,-,-,-,-,-,k,u,t,i,-,k,-,-,-,-,-
idum1241,-,-,-,-,p,-,-,-,-,o,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
diga1241,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
boka1249,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,u,-,k,-,-,-,-,-
garo1247,-,-,-,-,s,-,-,-,-,-,-,-,-,i,m,i,l,T,h,t,s,-,-,-,-,-,a,-,k,-,-,-,-,-
rabh1238,-,-,-,-,s,-,-,-,-,o,-,-,-,o,N,-,-,-,-,-,s,o,o,m,-,-,a,-,r,-,-,-,-,-
hakk1236,-,m,i,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,m,-,-,-,-,-
hakk1236,-,l,i,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,N,-,-,-,-,-
