language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
haka1240,-,-,-,-,-,-,z,a,-,-,a,-,-,-,a,-
lush1249,-,-,-,-,-,-,z,-,-,-,-,-,-,-,a,-
karb1241,-,-,p,-,-,-,h,a,-,r,o,-,-,-,o,-
thul1246,-,-,k,o,-,-,s,-,-,-,-,-,-,-,o,N
lash1243,-,-,-,-,-,-,S,-,-,-,-,-,-,-,o,-
zaiw1241,-,-,-,-,-,-,S,-,-,-,o,-,-,-,o,-
maru1249,-,-,-,-,-,-,y,-,-,-,-,-,-,-,o,-
pela1242,-,-,-,-,-,-,y,-,-,-,-,-,-,-,a,-
acha1249,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,k
nucl1310,-,-,t,i,7,-,y,-,-,-,-,-,-,-,o,-
lisu1250,-,-,-,-,-,-,h,-,-,-,-,-,-,-,E,-
drun1238,-,-,-,-,-,-,S,-,-,-,-,-,-,-,o,-
japh1234,x,u,r,-,-,-,Z,-,-,-,-,-,-,-,a,-
situ1238,p,3,r,-,-,-,y,-,-,-,-,-,-,-,a,-
zhab1238,-,-,T,-,-,-,y,-,-,-,-,-,-,-,i,-
amdo1237,w,-,T,-,-,-,y,-,-,-,-,-,-,-,E,-
amdo1237,-,-,d,-,-,-,Z,a,t,h,a,-,m,b,a,-
kham1282,-,-,d,-,-,-,Z,-,-,-,-,-,-,-,a,-
tsha1245,-,-,k,-,-,-,h,-,-,-,a,i,N,-,a,-
byan1241,-,-,-,-,-,-,r,-,-,-,-,-,-,-,a,a
byan1241,-,-,-,-,-,-,s,-,-,-,-,-,-,-,a,i
rong1264,-,-,-,-,-,-,s,-,-,-,-,-,-,-,o,-
rong1264,-,-,g,-,-,-,y,-,-,-,-,-,-,-,a,-
gahr1239,-,-,g,-,-,-,y,-,-,-,-,-,-,-,a,-
idum1241,-,-,m,o,-,-,l,-,-,-,o,-,-,-,o,N
diga1241,-,-,m,o,-,-,l,-,-,-,-,-,-,-,u,m
boka1249,-,-,-,-,-,-,l,-,-,-,-,-,-,-,u,N
garo1247,-,-,r,i,t,T,h,-,t,s,a,-,s,-,a,-
hakk1236,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,7
hakk1236,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,k
