language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
ngab1239,-,-,-,-,-,-,-,-,-,b,r,a,d,-,-,-,Z,-,-,-,-,e
bugl1243,g,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,i,-,-,-,-,e
chim1309,k,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,i,a,h,n,e,e
brib1243,k,-,-,a,-,L,-,-,u,u,-,-,t,-,-,-,i,-,-,-,-,-
cabe1245,k,-,-,a,-,L,-,-,u,u,-,-,t,-,-,-,i,-,-,-,-,-
teri1250,t,h,a,a,-,N,n,i,o,o,-,-,-,-,-,-,N,-,-,-,-,-
male1297,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,l,-,-,a
sanb1242,k,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,i,-,l,-,-,e
rama1270,k,-,-,-,-,-,-,-,-,a,-,-,t,a,p,a,i,-,k,-,-,-
cogu1240,k,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,i,-,z,-,-,-
mala1522,k,-,-,-,-,-,-,-,-,u,-,-,-,-,-,u,i,-,-,-,-,-
arhu1242,k,-,-,-,-,-,-,-,-,u,-,-,-,-,-,e,e,-,-,-,-,-
pech1241,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,i,-,7,-,-,-
cent2150,k,-,-,-,-,-,-,-,-,i,-,n,n,-,-,-,i,-,-,-,-,-
bari1297,-,-,-,a,-,s,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
maya1285,-,-,-,u,-,-,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-
ulwa1239,-,-,-,a,-,-,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-
misk1235,d,-,-,a,n,s,-,-,-,p,-,-,-,-,-,-,u,-,l,-,-,-
