language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
ngab1239,b,r,a,-,-,-,-,-,-,r,-,-,-,-,e,-,-,-,-
bugl1243,b,l,a,-,-,-,-,-,a,l,-,-,-,-,e,-,-,-,-
chim1309,-,s,a,-,-,w,-,-,i,r,-,-,-,-,i,-,-,-,-
brib1243,-,-,-,-,-,u,-,-,i,-,-,-,-,-,i,-,-,-,b
cabe1245,-,h,a,d,-,Z,-,-,i,-,-,-,-,-,i,u,a,a,7
teri1250,-,-,-,d,o,o,-,b,e,-,-,-,-,-,e,-,-,-,n
male1297,-,-,o,t,-,S,a,p,a,k,-,-,-,-,a,-,-,-,-
sanb1242,m,-,a,t,-,S,e,r,e,t,-,-,-,-,-,-,-,-,-
rama1270,-,-,-,n,-,k,-,-,i,k,-,n,-,-,a,-,-,-,-
cogu1240,-,-,-,-,-,s,-,-,i,g,-,g,-,-,i,-,-,-,-
mala1522,-,-,-,-,-,t,-,-,e,r,-,r,u,-,a,-,-,-,-
pech1241,-,-,a,-,-,-,-,-,a,r,-,-,w,a,a,-,-,-,-
bari1297,-,n,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
maya1285,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-
ulwa1239,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-
misk1235,w,-,a,-,-,-,-,-,-,y,t,n,-,-,a,-,-,-,-
