language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
negi1245,g,-,3,-,l,-,-,-,-,-,-,-,b,-,i,-,-
hiss1234,g,-,3,-,n,-,-,-,-,-,-,t,S,-,3,-,-
kuro1242,m,-,u,-,d,-,-,-,-,-,-,-,Z,-,i,l,3
nana1257,m,-,u,-,d,-,-,-,-,-,-,-,y,-,i,l,3
nana1257,m,w,u,-,r,-,-,-,-,-,-,t,S,-,i,-,-
ulch1241,m,-,u,-,r,-,-,u,-,-,-,t,S,-,u,-,-
orok1265,m,-,o,-,r,-,-,-,-,-,-,-,-,-,o,-,-
oroc1248,m,-,3,-,i,-,-,-,-,-,-,t,S,-,i,-,-
udih1248,m,-,3,-,y,-,-,-,-,-,-,-,s,y,i,-,-
kile1243,k,-,o,-,n,-,-,-,-,-,-,-,-,-,i,-,-
even1260,-,-,-,-,d,Z,o,o,m,k,e,n,-,-,-,-,-
even1260,m,-,u,u,l,g,a,a,-,X,-,t,-,-,-,-,-
even1260,m,-,u,u,l,g,a,a,-,X,-,t,S,-,-,-,-
manc1252,g,-,u,-,n,-,-,-,-,-,-,-,y,-,i,-,-
