language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
oroq1238,-,-,u,r,-,g,-,-,3,-,-,-,-
negi1245,-,-,u,y,-,g,-,-,3,g,d,-,i
hiss1234,-,-,u,r,-,g,-,-,3,p,t,S,u
hiss1234,-,-,3,r,-,x,-,-,3,-,-,-,-
hiss1234,-,-,u,r,-,g,-,-,3,p,t,S,u
hiss1234,-,-,u,r,-,g,-,-,3,-,-,-,-
ilim1234,-,-,u,r,-,g,-,-,3,-,-,-,-
nort3334,-,-,u,r,-,g,-,-,3,p,t,S,u
solo1263,-,-,u,-,-,g,-,-,u,-,d,-,i
kuro1242,-,-,u,d,y,g,-,-,3,-,-,-,-
nana1257,x,-,u,i,-,g,u,l,3,-,-,-,-
nana1257,x,-,u,i,-,g,-,-,3,-,-,-,-
nana1257,x,w,u,y,-,g,-,-,3,-,-,-,-
ulch1241,x,-,u,d,-,Z,-,-,3,u,l,-,i
orok1265,x,-,u,d,-,-,-,-,3,u,l,-,i
oroc1248,-,-,u,-,-,g,-,-,3,-,-,-,-
udih1248,-,-,u,x,-,y,-,-,i,-,-,-,-
kile1243,-,-,u,r,-,g,-,-,3,-,-,-,-
even1260,-,-,u,r,-,g,-,-,e,-,-,-,-
manc1252,-,-,u,d,-,Z,-,-,3,-,n,-,-
jurc1239,-,-,u,d,-,Z,-,-,3,-,-,-,-
xibe1242,-,-,u,d,-,Z,-,-,i,-,n,-,-
