language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
ulch1241,-,-,-,-,-,m,y,e,-,w,a,-,-,-
nana1257,-,-,-,-,-,m,y,E,-,w,a,-,-,-
nana1257,-,-,-,-,-,m,y,e,a,w,a,-,-,n
orok1265,-,-,-,-,-,m,-,E,-,w,o,-,-,-
oroc1248,-,-,-,-,-,m,y,E,a,w,a,-,-,-
udih1248,-,-,-,-,-,m,-,E,-,w,a,-,-,-
oroq1238,-,-,-,-,-,m,-,E,-,g,a,-,-,n
negi1245,-,-,-,-,-,m,-,E,-,w,a,-,-,n
kile1243,-,-,-,-,-,m,i,a,-,w,u,-,-,n
even1260,-,-,-,-,-,m,i,a,-,w,u,u,X,n
manc1252,n,y,i,y,a,m,-,-,-,-,a,-,-,n
xibe1242,5,-,i,-,o,m,-,-,-,-,3,-,-,n
