language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
ulch1241,-,-,-,-,-,-,-,-,-,-,-,-,e,-,r,-,-,-,a,-,-,-
ulch1241,-,-,-,-,-,-,-,-,-,g,-,-,a,-,d,-,Z,-,o,-,-,-
nana1257,-,-,-,-,-,-,-,-,-,-,-,-,e,-,r,-,-,-,a,-,-,-
nana1257,-,-,-,-,-,-,-,-,-,G,-,-,a,-,5,e,s,-,o,-,-,-
nana1257,-,-,-,-,-,-,-,-,-,G,-,-,a,-,d,-,Z,w,o,-,-,-
orok1265,-,-,-,-,-,-,-,-,-,p,-,-,u,k,t,-,-,-,u,-,-,-
orok1265,-,-,-,-,-,-,-,-,-,-,-,-,i,-,r,-,-,-,o,-,-,-
oroc1248,-,-,-,-,-,-,-,-,-,x,-,-,3,-,-,-,b,-,u,-,-,-
udih1248,-,-,-,-,-,-,-,-,-,g,-,-,a,-,d,-,z,-,i,-,-,-
udih1248,-,-,-,-,-,-,-,-,-,x,-,-,3,-,-,-,b,-,u,-,-,-
oroq1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,Z,-,u,-,-,-
negi1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,3,n,3,w
kile1243,t,S,a,C,h,t,S,h,i,x,-,-,-,-,-,-,-,-,3,-,-,-
kile1243,-,m,3,-,-,-,-,-,i,x,-,-,3,-,r,-,-,-,3,-,-,-
kile1243,-,-,-,-,-,-,-,-,-,x,i,n,a,-,l,-,-,-,3,-,-,-
even1260,-,-,-,-,-,-,-,-,-,N,-,-,e,-,n,-,-,-,u,-,-,-
manc1252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,n,-,u,-,-,-
xibe1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,Z,-,o,-,-,-
