language,x1,x2,x3,x4,x5,x6,x7,x8
ulch1241,t,-,i,q,-,t,-,3
nana1257,t,S,i,k,-,t,-,3
nana1257,t,S,i,k,-,t,-,3
orok1265,t,S,i,k,-,t,-,3
oroc1248,k,-,u,m,-,-,-,3
udih1248,k,-,u,m,u,x,-,3
oroq1238,k,-,u,m,-,k,-,3
negi1245,k,-,u,m,-,k,-,3
kile1243,q,h,u,m,3,k,h,3
even1260,k,-,u,m,-,k,-,e
manc1252,t,S,i,x,-,-,-,3
xibe1242,t,S,i,x,-,-,-,3
