language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
ulch1241,p,a,-,o,-,-,r,-,y,-,-,-,-,e,-,-
ulch1241,p,a,-,w,-,-,r,-,-,-,-,-,-,o,-,-
nana1257,f,a,-,o,-,-,r,-,y,-,-,-,-,e,-,-
nana1257,p,a,-,o,-,-,r,-,y,-,-,-,-,e,-,-
orok1265,p,o,-,u,-,-,r,-,-,-,-,-,-,i,-,-
oroc1248,-,-,-,-,-,-,t,i,s,-,-,-,-,a,-,-
udih1248,-,-,-,3,g,b,y,i,y,-,e,-,n,3,-,-
oroq1238,-,-,-,3,-,-,l,-,b,-,i,-,-,-,-,-
negi1245,-,-,-,o,-,-,g,-,y,-,a,k,t,o,-,-
negi1245,t,-,-,i,-,-,-,-,-,-,-,-,s,a,-,-
negi1245,t,-,-,e,-,-,-,-,-,-,-,-,s,a,-,-
negi1245,-,-,-,3,-,-,l,-,b,-,3,-,s,-,-,-
kile1243,-,-,-,3,-,-,L,-,p,-,-,-,S,i,-,-
even1260,k,e,w,u,-,-,-,-,m,-,-,-,-,e,t,-
even1260,k,e,w,u,-,-,-,-,m,-,-,-,-,e,t,S
even1260,t,i,-,-,-,-,-,-,-,-,-,-,-,a,n,-
manc1252,-,-,-,3,-,-,-,-,b,y,i,-,S,3,-,-
xibe1242,-,-,-,3,-,-,-,-,v,-,-,-,s,3,-,-
