language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
ulch1241,-,x,-,o,-,n,-,-,-,-,-,-
ulch1241,-,x,-,o,-,n,-,-,e,-,-,-
nana1257,-,X,-,o,-,5,-,-,i,-,-,-
nana1257,-,X,-,o,-,5,-,-,-,-,-,-
nana1257,-,X,w,o,-,n,-,-,i,-,-,-
orok1265,-,X,-,o,-,n,-,-,i,-,-,-
oroc1248,-,-,-,o,-,5,-,-,E,-,-,-
oroc1248,-,-,-,o,-,5,-,-,i,-,-,-
udih1248,-,-,-,o,-,n,-,-,o,-,-,-
oroq1238,-,u,-,o,-,n,-,-,-,-,-,-
negi1245,-,-,-,E,-,5,d,Z,i,-,-,-
negi1245,-,-,-,E,-,n,d,Z,i,-,-,-
negi1245,-,-,-,o,-,n,-,-,i,g,d,a
negi1245,-,-,-,o,-,n,-,-,i,-,-,-
negi1245,-,-,-,o,-,n,-,-,-,-,-,-
kile1243,-,-,-,o,-,n,-,-,i,-,-,-
even1260,-,o,-,o,-,n,-,-,-,-,-,-
manc1252,-,-,-,a,i,n,a,m,3,-,-,-
xibe1242,3,r,-,o,-,-,-,-,i,-,-,-
