language,x1,x2,x3,x4,x5,x6
oroq1238,N,a,-,l,a,-
hail1248,n,a,-,l,a,-
negi1245,N,a,-,l,a,-
negi1245,N,a,-,l,a,-
hiss1234,N,a,-,l,3,-
hiss1234,N,a,-,l,3,-
hiss1234,N,a,-,l,3,-
ilim1234,N,a,-,l,o,-
nort3334,N,a,-,l,3,-
solo1263,n,a,-,l,-,-
kuro1242,n,a,-,l,a,-
kuro1242,N,a,-,l,a,-
nana1257,n,a,-,n,a,-
nana1257,N,a,-,l,a,-
ulch1241,N,a,-,l,a,-
orok1265,N,a,-,l,i,-
orok1265,N,a,-,l,o,-
oroc1248,N,a,-,l,a,-
udih1248,N,a,-,l,a,-
kile1243,m,a,-,y,3,n
kile1243,n,a,-,l,a,-
even1260,N,a,l,l,-,-
manc1252,G,a,-,l,a,-
jurc1239,g,a,-,l,a,-
xibe1242,g,o,-,l,-,-
