language,x1,x2,x3
oroq1238,b,-,i
hail1248,b,-,i
negi1245,b,-,i
hiss1234,b,-,i
hiss1234,b,-,3
hiss1234,b,-,i
ilim1234,b,-,i
nort3334,b,-,i
solo1263,b,-,i
kuro1242,m,y,i
nana1257,b,y,i
nana1257,m,y,i
ulch1241,b,y,i
orok1265,b,-,i
oroc1248,b,y,i
udih1248,b,y,i
kile1243,p,-,i
even1260,b,-,i
manc1252,b,y,i
jurc1239,b,-,i
xibe1242,b,-,i
