language,x1,x2,x3,x4,x5,x6,x7
oroq1238,d,-,Z,3,b,-,-
hail1248,d,-,z,3,p,-,-
negi1245,d,-,Z,3,w,-,-
negi1245,d,-,Z,3,b,-,-
negi1245,d,-,Z,3,p,-,-
hiss1234,d,-,d,3,p,-,-
hiss1234,d,-,Z,3,p,-,-
hiss1234,d,-,Z,3,b,-,-
hiss1234,d,-,Z,3,w,-,-
hiss1234,d,-,d,3,p,-,-
ilim1234,d,-,d,3,p,-,-
nort3334,d,-,d,3,p,-,-
solo1263,d,-,Z,3,t,-,-
kuro1242,d,-,Z,3,f,-,u
nana1257,s,-,e,a,-,-,-
nana1257,d,-,z,3,f,t,3
nana1257,d,-,z,3,f,-,-
ulch1241,d,-,Z,3,p,-,u
orok1265,d,-,-,3,p,-,-
oroc1248,d,-,Z,3,p,-,-
udih1248,d,i,x,a,-,-,-
udih1248,d,-,z,3,-,-,-
kile1243,t,-,S,3,f,-,3
even1260,d,-,Z,e,p,-,-
even1260,d,-,Z,e,b,-,-
manc1252,d,-,Z,3,-,-,-
jurc1239,d,-,Z,3,f,-,u
xibe1242,d,-,Z,i,-,-,-
