language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
ulch1241,-,-,-,-,-,-,-,-,t,S,-,-,a,-,g,d,-,-,-,Z,a,-,-,-
nana1257,-,-,-,-,-,-,-,-,-,b,-,-,a,-,e,-,-,-,-,s,o,-,-,-
nana1257,-,-,-,-,-,-,-,-,t,s,-,-,a,-,g,d,-,-,-,z,a,-,-,-
nana1257,-,-,-,-,-,-,-,-,t,S,-,-,a,-,g,d,-,-,-,Z,a,-,-,n
orok1265,-,-,-,-,-,-,-,-,t,-,-,-,a,-,g,d,-,-,-,-,o,-,-,-
oroc1248,-,-,-,-,-,-,-,-,t,S,-,-,a,-,g,d,-,-,-,Z,a,-,-,-
udih1248,-,-,-,-,-,-,-,-,t,s,-,-,a,-,g,d,-,-,-,Z,a,-,-,-
udih1248,-,-,-,-,-,-,-,-,t,s,-,-,a,-,-,l,y,i,x,y,i,-,-,-
oroq1238,-,-,-,-,-,-,-,-,-,b,-,-,a,-,g,d,-,-,-,-,a,r,e,n
negi1245,-,-,-,-,-,-,-,-,-,b,-,-,a,-,g,d,-,-,-,-,a,y,i,n
kile1243,-,-,-,-,-,-,-,-,-,S,i,y,E,n,g,-,-,-,-,-,i,-,-,-
even1260,5,o,o,b,-,-,-,-,-,-,-,-,a,a,X,t,-,-,-,-,i,-,i,X
even1260,-,-,-,g,i,i,X,l,t,-,-,-,a,a,X,5,-,-,-,-,a,-,a,X
manc1252,-,-,-,-,-,-,-,-,-,S,-,-,a,-,-,n,-,-,-,y,a,-,-,n
manc1252,-,-,-,-,-,-,-,-,-,S,-,-,a,N,g,y,-,i,-,y,a,-,-,n
xibe1242,-,-,-,-,-,-,-,-,-,s,-,-,o,-,-,-,-,-,-,N,3,-,-,n
