language,x1,x2,x3,x4,x5,x6
bana1307,i,n,-,a,w,a
jara1276,i,n,-,a,w,a
jama1261,i,n,-,a,w,a
suru1263,i,n,y,u,w,a
suru1263,i,n,i,o,w,a
