language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
culi1244,k,-,-,-,-,i,-,-,y,-,-,-,-,a
bana1307,k,-,-,-,-,i,-,-,y,-,-,-,-,a
jara1276,k,-,-,-,-,i,-,-,y,-,-,-,-,a
jama1261,k,-,-,-,-,i,-,-,y,-,-,-,-,a
suru1263,Z,u,m,u,r,i,-,-,-,-,-,-,-,-
arua1263,-,-,-,-,-,a,m,o,z,a,r,a,h,a
