language,x1,x2,x3,x4
deni1241,-,o,d,i
culi1244,-,o,d,i
bana1307,h,o,d,i
jara1276,h,o,t,i
jama1261,h,o,d,i
paum1247,h,o,d,i
suru1263,d,a,d,3
