language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
suru1263,-,-,-,-,k,a,S,i,d,Z,a,h,u
suru1263,b,a,t,a,k,a,-,-,r,-,a,-,-
