language,x1,x2
kore1283,-,o
sion1247,g,o
tuca1253,k,o
seco1241,-,o
orej1242,-,o
cube1242,k,o
cara1272,-,o
tuca1252,g,o
bara1380,g,o
desa1247,g,o
guan1269,k,o
pira1254,k,o
