language,x1,x2,x3,x4
kore1283,h,3,h,3
sion1247,h,3,h,3
tuca1253,p,3,p,3
orej1242,h,3,h,3
cube1242,p,3,p,3
cara1272,b,3,p,3
tuca1252,b,3,p,3
bara1380,b,3,h,3
desa1247,b,3,p,3
tuyu1244,b,3,p,3
guan1269,w,3,p,3
cure1236,h,e,h,e
jupu1235,b,3,b,3
