language,x1,x2,x3,x4,x5
kore1283,w,a,t,h,i
sion1247,w,a,t,-,i
tuca1253,w,a,t,-,i
seco1241,w,a,t,-,i
orej1242,-,a,-,-,i
cube1242,-,a,t,S,i
cara1272,w,a,t,-,i
tuca1252,w,a,t,-,i
bara1380,w,a,t,-,i
desa1247,w,a,t,-,i
guan1269,w,a,t,-,i
tani1257,w,a,t,-,i
