language,x1,x2,x3,x4,x5
kore1283,n,3,k,h,a
sion1247,n,3,k,-,a
tuca1253,n,3,k,-,-
seco1241,n,3,k,-,a
orej1242,n,3,k,-,a
cube1242,n,u,-,-,u
cara1272,n,3,k,-,a
tuca1252,n,3,k,-,a
bara1380,r,3,N,-,o
desa1247,n,u,N,-,u
tuyu1244,n,u,k,-,u
