language,x1,x2,x3,x4,x5
kore1283,s,o,k,h,3
tuca1253,s,o,k,-,3
cara1272,h,o,k,-,3
tuca1252,s,u,k,-,u
desa1247,s,u,N,-,u
tuyu1244,s,u,k,-,u
guan1269,s,u,k,-,u
