language,x1,x2,x3,x4,x5,x6,x7
cara1272,-,h,3,m,e,-,-
tuca1252,-,s,3,m,e,-,-
bara1380,t,s,3,m,e,-,-
tuyu1244,-,s,3,m,e,r,e
tani1257,-,h,i,m,i,-,-
sion1247,-,s,3,h,o,-,-
cube1242,-,h,3,m,e,-,-
