language,x1,x2,x3,x4,x5,x6,x7,x8
cara1272,-,s,i,-,s,o,-,-
tuca1252,-,s,3,-,s,o,-,-
bara1380,t,S,e,t,S,o,-,-
desa1247,-,s,i,-,y,u,-,-
guan1269,-,s,3,-,s,o,-,-
kore1283,-,s,3,-,y,o,-,-
sion1247,-,s,e,-,y,o,-,-
seco1241,-,s,3,-,y,o,-,-
orej1242,-,s,3,-,y,o,-,-
cube1242,-,h,3,-,y,o,w,a
