language,x1,x2,x3,x4
cara1272,p,a,-,i
tuca1252,p,a,h,i
bara1380,h,a,-,i
tuyu1244,p,a,-,i
sion1247,h,a,-,i
seco1241,h,a,-,i
orej1242,h,a,-,i
pira1254,p,a,h,i
