language,x1,x2,x3,x4
cara1272,w,i,n,o
tuca1252,w,i,n,o
bara1380,m,i,n,o
desa1247,m,i,n,u
tuyu1244,w,i,n,o
guan1269,w,i,n,o
tani1257,w,i,r,o
