language,x1,x2,x3
yuet1238,k,o,n
guan1279,k,o,n
chen1267,k,a,n
chan1326,k,a,n
jina1245,k,E,-
taiy1243,k,E,-
beij1234,k,a,n
haer1234,k,a,n
rong1271,k,a,n
nanj1234,k,o,-
nanc1254,k,o,n
xian1253,k,E,-
guil1241,k,a,-
loud1234,k,a,-
jixi1238,k,o,-
suzh1234,k,e,-
ouji1238,k,i,-
ouji1238,s,3,-
fuzh1239,t,a,-
fuzh1239,k,a,N
xiam1236,t,a,-
