language,x1,x2,x3,x4,x5
yuet1238,t,s,y,a,m
guan1279,t,s,-,i,m
chen1267,t,S,y,E,n
chan1326,t,S,y,a,n
jina1245,t,S,y,E,-
taiy1243,t,S,y,e,-
beij1234,t,S,y,E,n
haer1234,t,S,y,a,n
rong1271,t,s,y,E,-
nanj1234,t,S,y,e,n
nanc1254,t,S,y,E,n
xian1253,t,S,y,E,-
guil1241,t,S,y,a,-
loud1234,t,S,y,E,-
jixi1238,t,s,-,e,-
suzh1234,t,s,-,i,-
ouji1238,t,S,-,i,-
fuzh1239,t,s,y,e,N
xiam1236,t,s,y,a,m
