language,x1,x2,x3,x4,x5,x6
yuet1238,-,-,-,p,-,e
yuet1238,-,-,-,f,a,i
guan1279,-,-,-,w,a,i
chen1267,-,-,x,w,a,i
chan1326,-,-,k,w,a,i
chan1326,-,-,f,-,a,i
jina1245,-,-,x,w,E,-
taiy1243,-,-,x,w,a,i
beij1234,-,-,x,-,a,i
haer1234,-,-,x,w,a,i
rong1271,-,-,x,w,a,i
nanj1234,-,-,x,w,E,-
nanc1254,-,-,-,f,a,i
xian1253,-,-,x,w,E,-
guil1241,-,-,-,f,a,i
loud1234,-,-,x,w,a,-
jixi1238,-,-,-,v,o,-
suzh1234,-,-,-,w,o,-
suzh1234,t,S,h,y,i,-
ouji1238,-,-,m,-,3,-
fuzh1239,-,-,N,-,a,i
fuzh1239,-,-,p,h,a,i
xiam1236,-,-,p,h,a,i
