language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
yuet1238,-,-,-,-,-,a,-,-,-,-,-,-,m,-,p,u
yuet1238,-,-,-,-,-,a,-,-,-,-,-,-,m,-,p,u
guan1279,-,-,-,m,-,a,-,n,-,s,-,E,N,-,-,-
guan1279,-,-,-,m,-,a,-,n,-,s,-,E,N,-,-,-
chen1267,-,-,-,x,-,e,-,l,-,-,-,3,u,-,-,-
chen1267,-,-,-,x,-,e,-,l,-,-,-,3,u,-,-,-
chen1267,-,-,-,w,-,a,-,n,-,s,-,a,N,-,-,-
chen1267,-,-,-,w,-,a,-,n,-,s,-,a,N,-,-,-
chan1326,-,-,-,w,-,a,-,n,-,s,-,a,n,-,-,-
chan1326,-,-,-,w,-,a,-,n,-,s,-,a,n,-,-,-
jina1245,-,-,-,v,-,E,-,-,-,S,-,o,N,-,-,-
jina1245,-,-,-,v,-,E,-,-,-,S,-,o,N,-,-,-
taiy1243,-,-,-,v,-,E,-,-,-,s,-,o,-,-,-,-
taiy1243,-,-,-,v,-,E,-,-,-,s,-,o,-,-,-,-
beij1234,-,-,-,w,-,a,-,n,-,S,-,o,N,-,-,-
beij1234,-,-,-,w,-,a,-,n,-,S,-,o,N,-,-,-
haer1234,S,y,a,w,-,a,-,-,-,x,-,e,i,-,-,-
haer1234,S,y,a,w,-,a,-,-,-,x,-,e,i,-,-,-
haer1234,S,y,a,w,-,a,-,-,-,x,-,e,i,-,-,-
haer1234,-,-,-,-,-,-,-,-,-,S,y,a,x,-,-,3
haer1234,-,-,-,-,-,-,-,-,-,S,y,a,x,-,-,3
haer1234,-,-,-,w,-,a,-,n,-,S,-,a,N,-,-,-
haer1234,-,-,-,w,-,a,-,n,-,S,-,a,N,-,-,-
nanj1234,-,-,-,w,-,o,-,-,-,s,-,o,-,-,-,-
nanj1234,-,-,-,w,-,o,-,-,-,s,-,o,-,-,-,-
nanc1254,-,y,a,w,-,a,-,n,-,-,-,-,-,-,-,-
nanc1254,-,y,a,w,-,a,-,n,-,-,-,-,-,-,-,-
xian1253,-,-,-,x,-,e,i,l,-,y,-,E,-,-,-,-
xian1253,-,-,-,x,-,e,i,l,-,y,-,E,-,-,-,-
guil1241,-,-,-,y,-,a,-,-,-,x,-,a,-,-,-,-
guil1241,-,-,-,y,-,a,-,-,-,x,-,a,-,-,-,-
loud1234,-,-,-,y,-,o,-,l,-,-,-,i,-,-,-,-
loud1234,-,-,-,y,-,o,-,l,-,-,-,i,-,-,-,-
jixi1238,-,-,-,i,-,o,-,-,-,x,-,o,-,-,-,-
jixi1238,-,-,-,i,-,o,-,-,-,x,-,o,-,-,-,-
suzh1234,-,-,-,y,-,o,-,l,i,S,y,a,-,-,-,-
suzh1234,-,-,-,y,-,o,-,l,i,S,y,a,-,-,-,-
suzh1234,-,-,-,y,-,o,-,l,i,S,y,a,-,-,-,-
ouji1238,-,-,-,h,w,o,-,-,-,S,-,i,-,-,-,-
ouji1238,-,-,-,h,w,o,-,-,-,S,-,i,-,-,-,-
fuzh1239,-,-,-,m,-,a,-,-,-,-,-,-,N,m,w,o
fuzh1239,-,-,-,m,-,a,-,-,-,-,-,-,N,m,w,o
xiam1236,-,-,-,-,-,e,-,-,-,h,-,-,N,-,-,-
xiam1236,-,-,-,-,-,e,-,-,-,h,-,-,N,-,-,-
