language,x1,x2,x3,x4,x5
yuet1238,l,y,o,N,-
yuet1238,-,-,-,N,i
guan1279,l,-,E,N,-
guan1279,-,-,i,-,-
chen1267,l,y,a,N,-
chen1267,-,-,3,-,-
chan1326,l,y,a,n,-
chan1326,-,-,3,-,-
jina1245,l,y,o,N,-
jina1245,-,-,3,-,-
taiy1243,l,y,a,-,-
taiy1243,-,-,3,-,-
beij1234,l,y,o,N,-
beij1234,-,-,3,-,-
haer1234,-,-,3,-,-
rong1271,-,-,3,-,-
nanj1234,5,y,o,-,-
nanj1234,-,-,3,-,-
nanc1254,l,y,o,N,-
nanc1254,-,-,3,-,-
xian1253,l,y,o,N,-
xian1253,-,-,3,-,-
guil1241,-,-,i,-,-
loud1234,n,y,o,N,-
loud1234,-,-,o,-,-
jixi1238,5,y,o,-,-
jixi1238,-,-,e,-,-
suzh1234,-,-,3,l,-
suzh1234,-,5,i,-,-
suzh1234,l,y,a,-,-
ouji1238,-,-,N,-,-
ouji1238,l,y,3,-,-
fuzh1239,l,-,a,N,-
fuzh1239,n,-,E,i,-
xiam1236,l,-,-,N,-
