language,x1,x2,x3,x4,x5,x6
yuet1238,-,k,-,o,-,N
guan1279,-,s,-,i,-,t
chen1267,-,p,-,a,-,i
chen1267,-,s,-,o,-,-
chan1326,t,S,y,a,-,n
chan1326,-,s,-,o,-,-
jina1245,-,S,w,o,-,-
taiy1243,-,s,w,3,-,7
beij1234,-,S,w,o,-,-
haer1234,-,-,l,a,-,u
haer1234,-,-,p,a,-,i
haer1234,-,S,w,o,-,-
rong1271,-,S,w,E,-,-
nanj1234,-,s,-,o,-,7
nanj1234,t,S,y,o,-,-
nanc1254,-,-,w,a,-,-
xian1253,-,S,-,i,-,-
guil1241,-,-,k,o,-,N
loud1234,-,-,k,o,-,N
jixi1238,-,k,-,o,-,-
jixi1238,-,S,y,a,-,7
suzh1234,-,s,-,3,-,7
ouji1238,-,k,w,o,-,-
fuzh1239,-,k,-,o,u,N
xiam1236,-,k,-,o,-,N
