language,x1,x2,x3,x4
yuet1238,p,h,a,k
guan1279,p,-,a,k
chen1267,p,-,e,-
chan1326,p,-,3,-
jina1245,p,-,e,i
taiy1243,p,y,3,-
taiy1243,p,-,a,i
beij1234,p,-,E,-
haer1234,p,-,a,i
rong1271,p,-,E,-
nanj1234,p,-,3,7
nanc1254,p,h,a,7
xian1253,p,-,e,i
guil1241,p,y,a,-
loud1234,p,h,o,-
jixi1238,p,h,a,7
suzh1234,b,-,o,7
ouji1238,b,-,a,-
fuzh1239,p,-,a,7
xiam1236,p,-,e,7
