language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
yuet1238,-,-,-,-,-,s,e,-,t,m,a,-
yuet1238,-,-,-,-,-,s,e,-,t,m,a,-
guan1279,-,-,-,-,-,s,a,-,t,-,-,-
taiy1243,-,-,-,-,-,s,3,7,t,s,3,7
taiy1243,-,-,-,-,-,s,3,7,t,s,3,7
taiy1243,-,-,-,-,-,s,3,7,-,-,-,-
nanc1254,-,-,-,-,-,s,3,-,t,-,-,-
xian1253,-,-,-,-,-,s,e,-,-,-,i,-
guil1241,-,-,-,-,-,s,o,-,-,-,-,-
suzh1234,-,-,d,y,E,s,3,-,7,-,-,-
suzh1234,-,-,d,y,E,s,3,-,7,-,-,-
ouji1238,-,-,-,-,-,s,a,-,i,-,-,-
fuzh1239,-,-,-,-,-,s,E,i,7,m,o,-
fuzh1239,-,-,-,-,-,s,E,i,7,m,o,-
xiam1236,k,a,t,-,-,s,a,-,-,-,u,-
xiam1236,k,a,t,-,-,s,a,-,-,-,u,-
