language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
huay1241,-,-,t,S,-,-,-,u,-,p,a
jauj1238,-,-,t,S,-,-,-,u,-,p,a
yauy1235,-,-,t,S,-,-,-,u,-,p,a
hual1241,-,-,t,S,-,-,-,u,-,p,a
coro1247,-,-,t,S,-,-,-,u,-,p,a
paca1245,-,-,t,S,-,-,-,u,-,p,a
caja1238,-,-,t,S,-,-,-,u,-,p,a
lamb1276,-,-,t,S,-,-,-,u,-,p,a
napo1242,-,-,t,S,-,-,-,u,-,p,a
tena1240,-,-,t,S,-,-,-,u,-,p,a
sout2990,-,-,t,S,-,-,-,u,-,p,a
imba1240,-,-,t,S,-,-,-,u,-,p,a
inga1252,-,-,t,S,-,-,-,u,-,p,a
cusc1236,-,-,t,S,-,-,-,u,-,p,a
puno1238,-,-,t,S,-,-,-,u,-,p,a
east2551,-,-,t,S,-,-,-,u,-,p,a
ayac1239,-,-,t,S,-,-,-,u,-,p,a
sout2991,-,-,t,S,-,-,-,u,-,p,a
sant1432,-,-,t,S,-,-,-,u,-,p,a
chac1250,-,-,t,S,-,-,-,u,-,p,a
sanm1289,-,-,t,S,-,-,-,u,-,p,a
jaqa1244,w,i,t,S,a,n,k,u,-,-,-
cauq1239,w,i,t,S,-,-,-,i,n,g,a
chip1262,-,-,k,h,-,-,-,u,r,z,-
