language,x1,x2,x3,x4,x5,x6,x7,x8
huay1241,-,-,-,t,S,a,k,i
jauj1238,-,-,-,t,S,a,k,i
yauy1235,-,-,-,t,S,a,k,i
hual1241,-,-,-,t,S,a,k,i
coro1247,-,-,-,t,S,a,k,i
paca1245,-,-,-,t,S,a,k,i
caja1238,-,-,-,t,S,a,k,i
lamb1276,-,-,-,t,S,a,k,i
napo1242,-,-,-,t,S,a,k,i
tena1240,-,-,-,t,S,a,k,i
sout2990,-,-,-,t,S,a,k,i
imba1240,-,-,-,t,S,a,k,i
inga1252,-,-,-,t,S,a,x,i
cusc1236,-,-,-,t,S,a,k,i
puno1238,-,-,-,t,S,a,k,i
east2551,-,-,-,t,S,a,k,i
ayac1239,-,-,-,t,S,a,k,i
sout2991,-,-,-,t,S,a,k,i
sant1432,-,-,-,t,S,a,x,i
chac1250,-,-,-,t,S,a,k,i
sanm1289,-,-,-,t,S,a,k,i
jaqa1244,-,-,-,k,-,a,y,u
cauq1239,-,-,-,k,-,a,y,u
chip1262,q,h,o,t,S,a,-,-
