language,x1,x2,x3,x4,x5,x6,x7
huay1241,-,-,s,i,n,7,a
jauj1238,-,-,s,i,n,7,a
yauy1235,-,-,s,i,n,q,a
hual1241,-,-,s,i,n,q,a
coro1247,-,-,s,i,n,q,a
paca1245,-,-,s,i,N,X,a
caja1238,-,-,s,i,n,g,a
lamb1276,-,-,s,i,n,G,a
napo1242,-,-,s,i,n,g,a
tena1240,-,-,s,i,n,g,a
sout2990,-,-,s,i,n,g,a
imba1240,-,-,s,i,n,g,a
inga1252,-,-,s,i,n,g,a
cusc1236,-,-,s,i,n,q,a
puno1238,-,-,s,i,n,q,a
east2551,-,-,s,e,n,q,a
ayac1239,-,-,s,e,N,X,a
sout2991,-,-,s,i,n,q,a
sant1432,-,-,s,e,N,q,a
chac1250,-,-,s,i,n,g,a
sanm1289,-,-,s,i,n,g,a
jaqa1244,n,a,s,-,-,-,a
cauq1239,n,a,s,-,-,-,a
chip1262,-,o,z,-,-,-,a
