language,x1,x2,x3,x4,x5,x6,x7
chip1262,-,-,-,i,t,S,z
imba1240,-,-,k,u,-,n,a
azua1234,-,-,k,u,-,n,a
nort3351,-,-,k,u,-,-,-
napo1242,-,-,k,u,-,n,a
tena1240,-,-,k,u,-,-,-
sout2990,-,-,k,u,-,n,a
inga1252,-,-,k,u,-,-,a
clas1251,-,-,k,o,-,-,-
apol1241,-,-,q,u,-,-,-
puno1238,-,-,q,u,-,-,-
cusc1236,-,-,q,u,-,-,-
east2551,-,-,q,o,-,-,-
sout2991,-,-,q,u,-,-,-
coch1274,-,-,G,u,-,-,-
sant1432,-,-,q,o,-,-,-
huan1249,-,-,X,u,-,-,-
ayac1239,-,-,X,o,-,-,-
azan1238,-,-,q,o,-,-,-
sanp1258,-,-,q,o,-,-,-
apur1253,-,-,q,o,-,-,-
tana1291,-,-,q,o,-,-,-
cacr1238,-,-,q,o,-,-,-
yauy1235,-,-,q,u,-,-,-
chac1250,-,-,k,u,-,-,-
sanm1289,-,-,k,u,-,-,-
huay1241,-,-,7,u,-,-,-
jauj1238,-,-,7,u,-,-,-
paca1245,-,-,X,o,-,-,-
yaru1256,-,-,X,o,-,-,-
hual1241,-,-,q,u,-,-,-
coro1247,-,-,q,u,-,-,-
caja1238,-,-,q,u,-,-,-
lamb1276,-,-,q,u,-,-,-
jaqa1244,y,a,k,a,-,-,-
cauq1239,y,a,k,a,-,-,-
