language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
chip1262,l,a,a,k,h,-,i,-,z,-,-,-
chip1262,-,-,a,-,z,-,i,n,z,-,-,-
imba1240,-,-,u,n,k,-,u,-,-,-,-,-
azua1234,-,-,u,n,g,-,u,-,k,u,n,a
nort3351,-,-,u,n,g,-,u,-,-,-,-,-
napo1242,-,-,u,n,g,-,u,t,S,i,n,a
tena1240,-,-,u,n,g,-,u,-,-,-,-,-
sout2990,-,-,u,n,g,-,u,-,-,-,n,a
inga1252,-,-,u,n,g,-,u,-,-,-,-,-
clas1251,-,q,i,-,X,y,a,-,-,-,n,i
clas1251,-,h,u,n,k,-,u,-,-,-,n,i
apol1241,-,-,u,n,q,-,u,-,-,-,-,-
puno1238,-,-,u,n,q,-,u,-,-,-,-,-
cusc1236,-,-,u,n,q,-,u,-,-,-,-,-
east2551,-,-,o,n,q,-,o,t,S,-,-,i
sout2991,-,-,u,n,q,-,u,-,-,-,-,-
coch1274,-,-,u,n,X,-,u,-,-,-,-,-
sant1432,-,-,o,N,q,-,o,-,s,-,-,-
huan1249,-,-,u,n,G,-,u,-,-,-,-,-
ayac1239,-,-,o,N,X,-,o,-,-,-,-,-
azan1238,-,-,o,N,q,-,u,-,-,-,-,-
sanp1258,-,-,o,N,q,-,u,-,-,-,-,-
apur1253,-,-,o,N,q,-,u,-,-,-,-,-
tana1291,-,-,o,N,q,-,u,-,-,-,-,-
cacr1238,-,-,-,-,q,-,i,-,S,-,-,a
yauy1235,-,-,-,-,q,-,i,-,S,-,-,a
sanm1289,-,-,u,n,g,-,u,-,-,-,-,-
huay1241,-,-,-,-,7,-,i,-,S,-,y,a
jauj1238,-,-,-,-,h,-,i,-,S,-,y,a
paca1245,-,-,-,-,X,-,e,-,S,-,y,a
yaru1256,-,-,-,-,X,-,e,-,S,-,y,a
hual1241,-,-,-,-,q,-,i,-,S,-,y,a
huai1241,-,-,-,-,q,-,i,-,S,-,y,a
coro1247,-,-,-,-,q,-,i,-,S,-,y,a
caja1238,-,-,-,-,q,-,i,-,S,-,-,a
lamb1276,-,-,-,-,q,-,i,-,S,-,-,a
jaqa1244,-,-,u,-,s,-,u,-,-,-,-,-
cauq1239,-,-,u,-,s,-,u,-,-,-,-,-
