language,x1,x2,x3,x4,x5,x6
huay1241,m,a,y,-,-,u
jauj1238,m,a,y,-,-,u
yauy1235,m,a,y,-,-,u
hual1241,m,a,y,-,-,u
coro1247,m,a,y,-,-,u
paca1245,-,-,r,i,-,o
caja1238,-,-,r,i,-,u
lamb1276,-,-,r,i,-,o
napo1242,-,-,y,a,k,u
tena1240,-,-,y,a,k,u
sout2990,-,-,y,a,k,u
imba1240,m,a,y,-,-,u
inga1252,-,-,y,a,k,u
cusc1236,m,a,y,-,-,u
puno1238,m,a,y,-,-,u
east2551,m,a,y,-,-,u
ayac1239,m,a,y,-,-,u
sout2991,m,a,y,-,-,u
sant1432,m,a,y,-,-,u
chac1250,m,a,y,-,-,u
sanm1289,m,a,y,-,-,u
jaqa1244,m,a,y,-,-,u
cauq1239,m,a,y,-,-,u
chip1262,w,i,w,-,-,i
chip1262,p,u,y,-,-,u
