language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
huay1241,-,-,-,h,-,-,i,-,w,-,a
huay1241,-,-,-,q,-,-,u,-,l,-,a
jauj1238,-,-,-,q,-,-,i,-,w,-,a
jauj1238,-,-,-,q,-,-,u,-,l,-,a
yauy1235,-,-,-,q,-,-,i,-,w,-,a
hual1241,-,-,-,q,-,-,e,-,w,-,a
hual1241,t,S,u,q,-,-,u,-,-,-,-
coro1247,-,-,-,q,-,-,u,-,r,-,a
paca1245,-,-,-,X,-,-,e,-,w,-,a
caja1238,-,-,-,q,-,-,i,-,w,-,a
lamb1276,-,-,-,X,-,-,i,-,w,-,a
napo1242,-,-,-,k,-,-,i,-,w,-,a
tena1240,-,-,-,k,-,-,i,-,w,-,a
sout2990,-,-,-,k,-,-,i,-,w,-,a
imba1240,-,-,-,x,-,-,i,-,w,-,a
inga1252,-,-,-,-,-,-,u,-,x,s,a
cusc1236,-,-,-,q,-,-,u,-,r,-,a
puno1238,-,-,-,q,-,-,u,-,r,-,a
east2551,-,-,-,q,-,-,o,-,r,-,a
ayac1239,-,-,-,X,-,-,o,-,r,-,a
sout2991,-,-,-,q,-,-,u,-,r,-,a
sant1432,-,-,-,y,-,-,u,-,y,-,u
chac1250,-,-,-,w,-,a,i,d,Z,-,a
chac1250,-,-,-,k,-,-,i,-,w,-,a
sanm1289,-,-,-,w,-,a,i,d,Z,-,a
sanm1289,-,-,-,k,-,-,i,-,w,-,a
jaqa1244,-,-,-,y,-,-,e,r,b,-,a
cauq1239,-,-,-,q,-,-,i,-,w,-,a
chip1262,-,-,-,t,S,o,i,-,5,-,a
