language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43
doee1238,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kwer1261,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kami1256,-,m,g,e,-,-,n,-,-,-,-,-,-,d,-,e,-,l,-,a,-,-,-,-,-,-,h,-,-,-,-,-,-,a,-,-,-,s,-,-,-,i,-
zara1247,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kutu1263,-,-,-,-,-,-,n,-,-,-,-,-,-,z,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
sham1280,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
bond1247,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
zigu1244,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
ngul1246,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
gogo1263,-,-,-,-,-,-,n,-,-,-,-,-,-,z,-,o,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kagu1239,-,-,-,-,-,-,5,-,-,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
lugu1238,-,-,-,-,-,-,n,-,-,-,-,-,-,z,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
lang1320,-,-,-,-,-,-,n,-,-,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
tait1250,-,t,-,-,-,-,S,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
saga1256,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
tave1240,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,o,-,-,k,-,-,-,-,a,-,a,-,-,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
giry1241,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
digo1243,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
poko1261,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
chim1312,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mwan1247,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
ilwa1237,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
matu1259,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,a,m,-,-,b,-,-,-,o,-
ngin1244,-,-,-,-,-,-,l,-,-,-,i,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mate1258,-,-,-,-,-,-,l,-,-,-,i,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mpot1240,-,-,-,-,-,-,l,-,-,-,i,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mand1423,-,-,-,-,-,-,l,-,-,-,i,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
tanz1241,-,-,-,-,-,-,l,-,-,-,i,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
yaoo1241,-,-,-,-,-,-,l,-,-,-,i,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mwer1248,-,-,-,-,-,-,n,-,-,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mako1251,-,-,-,-,-,-,m,-,-,-,-,-,-,5,-,-,-,-,-,o,-,-,-,n,-,-,g,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
ndam1239,-,-,-,-,-,-,n,-,-,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mbun1248,-,-,-,-,-,-,5,-,-,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
pogo1243,-,-,-,-,-,-,n,-,-,-,-,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
pang1287,-,-,-,-,-,-,l,-,-,-,i,-,-,y,-,-,-,-,-,o,-,-,-,-,-,-,k,-,-,-,-,h,-,a,-,-,-,-,-,-,-,-,-
