language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
mbos1242,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,g,-,-,-,-,-,-,a,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,g,-,-,-,-,-,-,a,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
mbok1243,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
akwa1248,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,g,-,i,-,i,-,-,a,-,-,-,-,-,-
bong1284,-,-,-,-,-,-,-,-,-,m,-,-,o,-,d,-,z,-,-,-,-,E,-,-,-,-,-,-,l,-,-,-,-,-,-,E,-,-,-,-,-,-
maba1270,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,s,-,i,-,-,i,-,-,-,-,n,-,g,-,-,-,-,-,-,o,-,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,b,-,-,o,-,n,-,g,-,o,-,-,o,-,-,-,-,n,-,g,-,-,-,o,-,-,o,-,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,e,e,-,-,e,-,-,-,-,l,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
zamb1245,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,-,-,o,-,-,i,-,-,-,-,n,-,g,-,-,-,o,-,-,o,-,-,-,-,-,-
mpam1239,-,-,-,-,-,-,-,-,-,z,-,-,e,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
bang1354,-,-,-,-,-,-,-,-,-,m,-,-,o,o,n,-,T,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,s,-,i
dibo1245,-,-,-,-,-,d,-,-,-,z,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,g,-,-,-,-,-,-,a,-,-,-,-,-,-
dibo1245,-,-,-,-,-,d,-,-,-,z,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,g,-,-,-,-,-,-,a,-,-,-,-,-,-
bomi1238,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,s,-,-,-,-,i,-,-,-,-,n,-,g,-,-,-,-,-,-,o,-,-,-,-,-,-
yaka1272,-,-,-,-,-,-,-,-,-,m,-,b,a,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,g,-,-,-,u,-,-,u,-,-,-,-,-,-
ngom1268,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,m,-,b,-,-,-,-,-,-,o,-,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,w,-,e,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,e,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
ndol1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,w,-,e,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
bolo1263,-,-,-,-,-,-,-,-,-,m,-,-,o,-,n,-,y,-,e,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
budz1238,-,-,-,-,-,-,-,-,-,m,-,-,o,-,n,-,g,-,e,-,-,e,-,-,-,-,-,-,m,-,-,-,a,-,-,a,-,-,-,-,-,-
bwel1238,-,-,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,i,-,-,i,-,-,-,-,-,-,-,-,-,-,a,-,-,a,-,-,-,-,-,-
sode1235,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,h,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
sode1235,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,h,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
kele1255,-,-,-,-,-,-,-,-,-,b,-,-,o,-,-,-,k,-,-,-,-,a,-,-,-,-,-,-,l,-,-,-,-,-,-,i,-,-,-,-,-,-
mbol1247,-,-,-,-,-,o,s,u,-,m,-,-,-,-,-,-,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
bata1285,-,-,-,-,-,-,-,-,-,m,-,p,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,-
beng1282,-,-,-,-,-,u,-,-,-,p,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,a,-,-,-,-,-,-
yasa1242,-,-,-,-,-,-,-,-,-,m,-,u,u,-,-,-,-,-,e,-,-,e,-,-,-,-,-,-,y,-,-,-,a,-,-,a,-,-,-,-,-,-
dual1243,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
mali1280,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,-,-,u,-,u,u,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,m,-,o,o,-,-,-,k,-,o,-,-,o,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,m,-,o,o,-,-,-,k,-,o,-,-,o,-,-,-,-,n,-,d,-,-,-,o,-,-,o,-,-,-,-,-,-
mokp1239,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,-,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
ndas1238,-,-,-,-,-,-,-,-,-,-,-,-,u,-,n,-,t,-,s,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
wumb1242,-,-,-,-,-,-,-,-,-,-,-,-,u,-,n,-,t,-,s,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
sigh1238,-,-,-,-,-,-,-,-,-,m,-,-,u,-,u,-,k,-,i,-,-,i,-,-,-,-,-,-,l,-,-,-,a,-,-,a,-,-,-,-,-,-
osam1235,-,-,-,-,-,-,-,-,-,n,-,-,-,-,n,-,t,-,S,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
maho1248,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
kota1274,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
mwes1234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-
mban1268,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,n,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-
kele1257,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
ngom1270,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
ngom1270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,t,-,S,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,t,-,-,E,-,-,-,-,-,-
sake1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,n,-,d,-,-,-,Z,-,-,u,-,-,-,-,-,-
eviy1235,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,x,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
bubi1250,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,x,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-
tsog1243,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
simb1254,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
pinj1243,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
kand1300,-,-,-,-,-,-,-,-,-,m,-,-,o,-,-,-,k,-,-,-,-,o,-,-,-,-,n,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,o,-,o,-,k,-,w,-,e,e,-,-,-,-,n,-,d,-,-,-,e,-,-,e,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,w,-,-,e,-,-,-,-,n,-,d,-,-,-,-,-,-,e,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,w,-,-,e,-,-,-,-,n,-,d,-,-,-,-,-,-,e,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,w,-,-,e,-,-,-,-,n,-,d,-,-,-,-,-,-,e,-,-,-,-,-,-
myen1241,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,w,-,e,e,-,-,-,-,n,-,d,-,-,-,-,-,-,e,-,-,-,-,-,-
tete1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,w,-,e,-,-,e,-,-,-,-,-,-,l,-,-,-,a,-,-,a,-,-,-,-,-,-
ombo1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,u,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
deng1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,e,-,-,-,-,-,-,l,-,-,-,a,-,-,a,-,-,-,-,-,-
bush1247,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,e,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-
wong1247,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,y,-,-,-,-,e,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-
doee1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
kwer1261,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
kami1256,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
zara1247,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
sham1280,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
bond1247,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
zigu1244,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,t,S,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
ngul1246,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
gogo1263,-,-,-,-,-,-,-,-,-,m,-,-,u,-,u,-,T,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
lugu1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-
lang1320,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-
tait1250,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,m,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-
saga1256,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-
tave1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,t,i,z,-,-,-,-,-,-,e,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,-,-,-,-,i,z,-,-,-,e,-,-,e,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,t,i,d,-,-,-,Z,-,-,e,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,t,i,d,-,-,-,Z,-,-,e,-,-,-,-,-,-
giry1241,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-
digo1243,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,t,S,i,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-
poko1261,-,-,-,-,-,-,-,-,-,m,-,-,u,-,u,-,k,-,-,-,-,i,-,-,-,-,-,-,y,-,-,-,-,-,-,a,-,-,-,-,-,-
chim1312,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,i,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
mwan1247,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-
ilwa1237,-,-,-,-,-,-,-,-,-,m,-,-,u,-,u,-,k,-,e,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,-,-,l,-,-,u,-,-,-,k,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,-,-,l,-,-,u,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
matu1259,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,k,-,-,-,-,E,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
ngin1244,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
mate1258,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
mpot1240,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
mand1423,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,k,-,-,-,-,e,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
yaoo1241,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,t,S,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
mwer1248,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,S,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,s,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,t,S,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
ndam1239,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
mbun1248,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
pogo1243,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,S,-,-,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,-,-,-
pang1287,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,k,h,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
nucl1379,-,-,-,-,-,u,-,-,-,n,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
bena1262,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
sang1330,-,-,-,-,-,u,-,-,-,m,-,-,u,-,-,-,S,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
vwan1235,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,k,-,-,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-
fipa1238,-,-,-,-,-,u,-,-,-,m,-,-,u,-,-,-,s,-,-,-,-,i,-,-,-,-,n,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-
mamb1296,-,-,-,-,-,u,-,-,-,m,-,-,-,-,-,-,s,-,-,-,-,i,-,-,-,-,n,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-
mamb1296,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,s,-,-,-,-,i,-,-,-,-,n,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-
wand1264,-,-,-,-,-,-,-,-,-,m,-,-,u,-,-,-,s,-,-,-,-,i,-,-,-,-,n,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-
nyam1275,-,-,-,-,-,u,-,-,-,m,-,-,u,-,-,-,s,-,-,-,-,i,-,-,-,-,n,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-
