language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35
mbos1242,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,i,-,i,-,-,-,-,-,-
mbok1243,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
akwa1248,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
mong1338,-,-,-,n,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,y,-,i,-,-,-,-,-,-
bang1354,-,-,-,n,-,-,-,-,-,-,-,T,-,-,-,o,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
yaka1272,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,i,-,i,-,-,-,-,-,-
ngom1268,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
sode1235,-,-,-,x,a,i,s,-,-,i,-,s,-,-,-,i,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sode1235,-,-,-,h,a,i,s,-,-,i,-,s,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kele1255,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
beng1282,-,-,-,i,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,o,-,-,-,n,-,-,-,i,-,-,-,-,-,-
dual1243,-,-,-,i,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,n,-,-,-,-,-,-,-,-,-,-
orok1266,-,-,-,i,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-
orok1266,-,-,-,i,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-
orok1266,-,-,-,i,-,-,s,-,-,o,-,s,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mokp1239,-,-,-,e,-,-,m,-,-,-,-,b,-,-,-,o,-,-,-,-,o,-,-,-,l,-,E,-,E,-,-,-,-,-,-
ndas1238,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,o,-,-,-,5,-,-,-,i,-,-,-,-,-,-
wumb1242,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,o,-,-,-,5,-,-,-,i,-,-,-,-,-,-
sigh1238,-,b,u,u,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,o,-,-,-,5,-,i,-,i,-,-,-,-,-,-
osam1235,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,o,-,-,-,y,-,-,-,i,-,-,-,-,-,-
