language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
doee1238,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
kwer1261,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
kami1256,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
zara1247,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
sham1280,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
bond1247,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
zigu1244,m,l,-,-,o,-,-,n,g,-,-,-,-,-,-,o,-,-,-,-,u,-,-,-,-,-,m,-,w,-,-,e,n,g,-,-,-,-,-,a
ngul1246,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
gogo1263,-,-,-,-,i,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
kagu1239,-,-,-,-,i,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,m,-,-,-,-,i,-,-,-,-,-,-,-,-
