language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33
doee1238,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
kwer1261,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
kami1256,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
zara1247,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
kutu1263,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
sham1280,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
bond1247,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
zigu1244,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
ngul1246,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
gogo1263,-,-,-,-,m,-,u,u,w,-,-,-,-,-,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
kagu1239,-,-,-,-,m,-,u,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
lugu1238,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
lang1320,-,-,-,-,m,p,i,m,b,-,i,-,-,r,-,-,-,-,-,-,i,-,-,y,-,-,-,-,-,a,-,-,-
tait1250,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,u,-,-,-
saga1256,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,o,-,n,-,-,-,-,-,u,-,-,-
tave1240,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
asut1235,-,-,-,-,-,-,-,-,k,-,o,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,o,-,o,-,-,-
asut1235,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
asut1235,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
giry1241,-,-,-,-,m,-,u,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
digo1243,-,-,-,-,m,-,-,-,k,-,o,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
poko1261,-,-,-,-,m,-,u,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
chim1312,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,o,-,n,-,-,-,-,-,o,-,-,-
swah1253,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
swah1253,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
swah1253,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
swah1253,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
swah1253,-,-,-,-,N,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
mwan1247,-,-,-,-,N,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
ilwa1237,-,-,-,-,m,-,o,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
nden1248,-,-,-,-,-,-,-,-,l,-,u,-,-,b,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
nden1248,-,-,-,-,-,-,-,-,l,-,u,-,-,b,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
matu1259,-,-,-,-,-,-,-,-,l,-,u,-,-,b,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
ngin1244,-,-,-,-,-,-,-,-,l,-,u,-,-,b,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
mate1258,-,-,-,-,-,-,-,-,k,-,u,-,-,b,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,u,-,-,-
mpot1240,-,-,-,-,-,-,-,-,l,-,i,-,-,b,-,-,7,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
mand1423,-,-,-,-,-,-,-,-,k,-,i,-,-,w,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
tanz1241,-,-,-,-,-,-,-,-,t,S,i,-,-,w,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
yaoo1241,-,-,-,-,n,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
mwer1248,-,-,-,-,n,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
mako1251,-,-,-,-,n,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
mako1251,-,-,-,-,m,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
ndam1239,-,-,-,-,-,-,-,-,l,-,i,-,-,w,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
mbun1248,-,-,-,-,-,-,-,-,l,-,i,-,-,w,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
pogo1243,-,-,-,-,-,-,-,-,l,-,i,-,-,w,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,u,-,-,-
pang1287,-,-,-,-,-,-,-,-,l,-,i,-,-,v,-,-,-,-,-,-,o,-,-,g,-,-,-,h,-,o,-,-,-
nucl1379,-,-,-,-,i,-,-,-,k,-,i,-,-,v,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
hehe1240,-,-,-,-,i,-,-,-,l,i,i,-,-,w,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
bena1262,-,-,-,-,i,-,-,-,l,-,i,-,-,v,-,-,w,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
sang1330,-,-,-,-,i,-,-,-,l,-,i,-,-,w,-,-,-,-,-,-,o,-,-,k,-,-,-,h,-,o,-,-,-
vwan1235,-,-,-,-,-,-,-,-,l,-,u,-,-,v,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
fipa1238,-,-,-,-,i,-,i,-,k,-,-,-,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,-,-,a,-,-,-
mamb1296,-,-,-,-,i,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,-,-,a,-,-,-
mamb1296,-,-,-,-,i,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,-,-,a,-,-,-
wand1264,-,-,-,-,i,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,-,-,a,-,-,-
nyam1275,-,-,-,-,i,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,a,-,-,s,-,-,-,-,-,a,-,-,-
pimb1238,-,-,-,-,i,-,-,-,b,-,-,-,-,7,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
rung1255,-,-,-,-,i,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
bung1265,-,k,-,-,u,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,l,-,-,-,-,-,o,w,-,a
bend1258,-,-,-,-,i,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,o,-,-,-
nyih1240,-,-,-,-,i,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,o,-,-,v,-,-,-,-,-,e,-,-,-
mali1279,-,-,-,-,i,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,o,-,-,v,-,-,-,-,-,e,-,-,-
lamb1272,-,-,-,-,i,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,o,-,-,v,-,-,-,-,-,e,-,-,-
safw1238,-,-,-,-,u,-,-,-,k,-,-,-,-,h,-,-,-,-,-,-,o,-,-,n,-,-,-,-,-,o,-,-,-
