language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
doee1238,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,o,u,k,o,m,w,a
kwer1261,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
kami1256,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,p,-,-,-,-,-,a,-,-,n,g,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
zara1247,-,-,-,-,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,T,-,-,-,-,i,-,n,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
sham1280,-,-,-,-,-,u,-,-,s,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
bond1247,-,-,-,-,-,u,-,-,s,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
zigu1244,-,o,-,b,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
ngul1246,-,-,-,-,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
gogo1263,-,u,-,-,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
lugu1238,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,s,-,-,-,-,-,a,-,-,-,z,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
lang1320,-,-,-,-,-,u,-,-,r,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
tait1250,-,-,-,-,-,-,-,-,w,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
saga1256,-,-,-,-,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
tave1240,-,-,-,-,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,s,-,-,-,-,a,-,-,-,-,-,-,-,a,-,-,n,z,i,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
giry1241,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
digo1243,-,-,-,-,-,-,-,-,T,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
poko1261,-,-,-,-,-,-,-,-,k,-,-,-,-,i,n,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
chim1312,-,-,-,-,-,-,-,-,T,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,h,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,S,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
mwan1247,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,n,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
ilwa1237,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,-,k,-,-,-,-,i,n,d,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
nden1248,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,s,-,-,-,-,-,a,-,-,-,s,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
matu1259,-,-,-,-,-,-,-,-,k,-,-,-,-,i,n,d,-,a,-,a,-,a,-,-,n,d,a,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
ngin1244,-,-,-,-,-,-,-,-,k,-,-,-,-,i,n,d,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
mate1258,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
mpot1240,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
mand1423,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
tanz1241,-,-,-,-,-,-,-,-,t,-,S,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
yaoo1241,-,-,-,-,-,-,-,-,T,-,-,-,-,i,n,d,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
mwer1248,-,-,-,-,-,-,-,-,S,-,-,-,-,i,-,n,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
mako1251,-,-,-,-,-,-,-,-,t,-,S,-,-,i,-,n,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
ndam1239,-,-,-,-,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
mbun1248,-,-,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
pogo1243,-,-,-,-,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
pang1287,-,-,-,v,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
nucl1379,-,u,-,v,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
hehe1240,-,i,-,-,-,-,-,-,k,-,-,-,-,i,-,t,-,a,-,-,-,a,-,-,n,d,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
bena1262,-,u,-,v,w,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
sang1330,-,u,-,w,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
vwan1235,-,u,-,v,-,u,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
fipa1238,-,i,-,-,-,-,-,-,T,-,-,-,-,i,-,t,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
