language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60
doee1238,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
kwer1261,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
kami1256,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
zara1247,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
kutu1263,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
sham1280,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,h,-,-,-,o,-,-,S,-,-,-,-,-,-,i,-,-,-,-,-,-
bond1247,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,s,-,-,-,-,-,-,i,-,-,-,-,-,-
zigu1244,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
ngul1246,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,s,-,-,-,-,-,-,i,-,-,-,-,-,-
gogo1263,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,u,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
kagu1239,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,o,-,-,s,-,-,-,-,-,-,i,-,-,-,-,-,-
lugu1238,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
lang1320,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
tait1250,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,a,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
saga1256,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
tave1240,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,u,-,-,m,-,e,-,-,-,-,e,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
asut1235,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
giry1241,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
digo1243,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
poko1261,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,u,-,-,-,-,y,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
chim1312,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,u,b,-,l,-,-,-,-,i,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
swah1253,-,-,m,w,-,a,-,-,n,a,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,u,-,-,l,-,-,-,-,-,-,i,-,-,-,-,-,-
swah1253,-,-,-,w,-,a,-,-,n,a,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
swah1253,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,u,-,-,l,-,-,-,-,-,-,i,-,-,-,-,-,-
mwan1247,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
ilwa1237,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,u,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,E,-,-,-,-,-,-
nden1248,-,-,m,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
nden1248,-,-,n,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
matu1259,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
ngin1244,-,-,m,w,-,a,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
mate1258,-,-,m,w,-,a,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-
mpot1240,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-,m,-,-,-,-,-,-,i,-,-,-,-,-,-
mand1423,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,s,-,-,-,-,-,-,i,-,-,-,-,-,-
