language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,o,k,-,-,a,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
mbok1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
akwa1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
bong1284,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,i,d,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
maba1270,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,u,-,-,n,k,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,l,-,i,-,-,-,-,i,-,-,-,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,u,-,-,-,-,e,-,-,-,-,-,-,-,-
zamb1245,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,o,k,-,-,a,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,a,-,-,-,-,a,-,-,-,-,-,-,-,-
