language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46
mbos1242,-,-,-,-,-,-,-,-,i,-,t,-,-,s,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,i,-,T,-,-,E,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,i,-,T,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,i,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,o,-,T,-,-,E,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,i,-,T,-,-,E,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-
koyo1242,-,-,-,-,-,-,i,-,i,-,t,-,s,E,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,E,-,E,-,-,-,-,-,-,-,-,-
mbok1243,-,-,-,-,-,-,-,-,i,-,b,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
akwa1248,-,-,-,-,-,-,-,-,e,-,h,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
maba1270,-,-,-,-,-,-,b,-,o,-,t,-,-,-,-,-,-,-,a,-,-,-,-,a,n,-,-,-,-,-,g,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,a,n,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
bang1354,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,a,-,l,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dibo1245,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
dibo1245,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
bomi1238,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,-,-,y,-,i,-,-,-,-,-,-,-,-,-
yaka1272,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,-,-,-,g,-,-
ngom1268,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
sode1235,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kele1255,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
yasa1242,-,-,-,-,-,-,-,-,e,e,l,-,-,a,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,a,-,a,-,-,-,-,-,-,-,-,-
dual1243,-,-,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mali1280,-,-,-,-,-,-,-,-,-,-,s,-,-,o,-,-,-,-,o,-,-,-,-,-,N,-,-,-,-,-,g,E,E,l,E,-,E,-,-,-,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mokp1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,g,-,-,-,a,-,a,-,-,-,-,-,-,-,-,-
ndas1238,-,-,-,-,-,-,-,-,u,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
wumb1242,-,-,-,-,-,-,-,-,u,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
sigh1238,-,-,-,-,-,-,-,-,e,e,t,-,-,a,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,a,-,a,-,-,-,-,-,-,-,-,-
maho1248,-,-,-,-,-,-,-,-,i,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,a,k,a,-,-,-,-,-,-,-,-,-
kota1274,-,-,-,-,-,-,b,-,o,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,a,k,a,-,-,-,-,-,-,-,-,-
kele1257,-,-,-,-,-,-,-,-,o,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-
ngom1270,-,-,-,-,-,-,-,-,u,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,u,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,k,o,-,k,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,u,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,g,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
ndam1254,-,-,-,-,-,-,-,-,u,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sake1247,-,-,-,-,-,-,-,-,u,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
