language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
mbok1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
akwa1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
maba1270,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,n,-,a,n,a,-,-,-,-,-,a,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
bang1354,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
yaka1272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,u,-,-,-,a,-,-,-,-,-,a,-,-,-
ngom1268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,E,-,E,-,-,-,-,-,E,-,-,-
sode1235,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-
kele1255,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-
beng1282,-,-,-,-,-,-,-,-,-,b,y,-,-,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
yasa1242,-,-,-,-,-,-,-,-,-,v,i,i,a,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,a,-,-,-,-,-,a,-,-,-
dual1243,-,-,-,-,-,-,-,-,-,w,-,-,a,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-
mali1280,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,a,-,-,-,-,-,a,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,a,-,-,-,-,-,a,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,p,-,-,-,-,-,-,-,-,-,a,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,w,-,-,-,-,-,-,-,-,-,a,-,-,-
mokp1239,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,p,-,-,-,-,-,-,-,-,-,a,-,-,-
ndas1238,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,t,s,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-
wumb1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,t,s,-,i,m,b,-,-,-,-,-,-,-,-,-,a,-,-,-
sigh1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,e,-,l,-,-,E,E,k,-,-,-,-,y,-,-,-,e,-,-,-,-,-,e,-,-,-
osam1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,t,S,-,e,m,b,-,-,-,-,-,-,-,-,-,a,-,-,-
maho1248,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,t,S,-,e,m,b,-,-,-,-,-,-,-,-,-,a,-,-,-
kota1274,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,t,S,y,e,m,b,-,-,-,-,-,-,-,-,-,a,-,-,-
mwes1234,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,E,m,b,-,-,-,-,-,-,-,-,-,a,-,-,-
mban1268,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,i,m,b,-,-,-,-,-,-,-,-,-,a,-,-,-
kele1257,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,k,-,-,e,m,b,-,-,-,-,-,-,-,-,-,a,-,-,-
