language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53
mbos1242,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,E,-,-,-,-,-,s,-,-,E,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,E,-,-,-,-
mbos1242,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,E,-,-,-,-,-,-,-,-,E,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-,b,-,-,i,-,-,-,-,-,i,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,E,-,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-,b,-,-,e,-,-,-,-,-,e,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,E,-,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,n,-,-,d,-,Z,o,o,o,-,-,-,-,-,o,-,-,-,-
mbok1243,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,o,-,-,-,-,-,-,-,-,o,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
akwa1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-,-,b,-,-,i,-,-,-,-,-,i,-,-,-,-
bong1284,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
maba1270,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,E,-,-,-,-,-,-,-,-,E,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,-,-,-,-,o,-,-,-,n,-,-,-,-,g,-,-,o,-,-,-,-,-,o,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,k,-,-,o,-,-,-,n,-,-,-,-,g,-,-,o,-,-,-,-,-,o,-,-,-,-
zamb1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,E,-,-,-,-,-,-,-,-,E,-,-,-,l,-,-,-,-,-,-,-,o,-,-,-,-,-,o,-,-,-,-
mpam1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
bang1354,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,u,-,-,-,-,-,-,-,-,u,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
dibo1245,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,k,-,w,E,k,-,-,w,-,E,-,-,-,-
dibo1245,-,i,-,n,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,e,-,-,-,-
bomi1238,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-
yaka1272,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,E,-,-,-,-,-,-,-,-,E,-,-,-,n,-,-,-,-,z,-,-,E,-,-,-,-,-,E,-,-,-,-
ngom1268,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,e,-,-,-,-,-,-,-,-,e,-,-,-,l,-,-,-,-,-,-,-,e,-,-,-,-,-,e,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,E,-,-,-,-,-,-,-,-,E,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
ndol1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,l,-,-,-,-,-,-,-,o,-,-,-,-,-,o,-,-,-,-
bolo1263,-,-,-,m,-,-,-,-,-,-,o,-,-,-,-,-,s,-,-,-,-,a,-,-,-,-,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
budz1238,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,E,n,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-
bwel1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,E,-,-,-,-,-,-,-,-,E,-,-,-,l,-,-,-,-,-,-,-,o,-,-,-,-,-,o,-,-,-,-
sode1235,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,y,a,a,-,-,-,-,-,s,-,y,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kele1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-
mbol1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,-,-,-,-,-,-,-,u,-,-,-,n,-,-,-,-,g,-,-,-,-,-,-,-,-,e,-,-,-,-
bata1285,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,5,-,-,E,-,l,-,-,-,-,-,-,-,-,E,-,-,-,-
beng1282,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,E,-,-,-,-
yasa1242,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,E,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,l,-,-,E,-,-,-,-,-,E,-,-,-,-
dual1243,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-,-
mali1280,-,-,-,m,-,-,-,-,-,-,u,-,u,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,u,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,g,-,-,-,-,-,-,-,-,E,-,-,-,-
