language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
doee1238,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kwer1261,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kami1256,-,-,-,-,-,k,-,-,-,u,-,-,-,m,-,k,-,-,-,-,o,-,-,-,-,m,e,-,b,-,-,a,-,z,h,a,-,-,-,-
zara1247,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kutu1263,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
sham1280,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
bond1247,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
zigu1244,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
ngul1246,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
gogo1263,-,-,-,-,-,w,-,-,-,u,-,-,-,-,-,l,-,-,-,-,a,-,-,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kagu1239,-,-,-,-,-,k,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,a,-,-,-,-
lugu1238,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,l,-,-,-,-,a,-,g,-,-,h,-,-,-,-,-,-,-,-,-,a,-,-,-,-
lang1320,-,-,-,-,-,k,-,-,-,u,-,-,-,u,-,l,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
