language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69
mbos1242,-,-,-,e,-,-,-,-,-,-,-,-,p,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mbos1242,-,-,-,e,-,-,-,-,-,-,-,-,b,-,-,-,-,i,-,-,i,i,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mbos1242,-,-,-,e,-,-,-,-,-,-,-,-,p,-,-,-,-,i,-,-,i,i,-,-,i,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mbos1242,-,-,-,e,-,-,-,-,-,-,-,-,y,-,-,-,-,i,-,-,i,i,-,-,i,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mbos1242,-,-,-,e,-,-,-,-,-,-,-,-,y,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
koyo1242,-,-,-,e,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
koyo1242,-,-,i,i,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mbok1243,-,-,-,i,-,-,-,-,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
akwa1248,-,-,-,e,-,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
bong1284,-,-,-,e,p,e,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
maba1270,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,m,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,u,-,-,-,t,e,-,e,-,-,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,t,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-
zamb1245,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,m,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mpam1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,n,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
bang1354,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
dibo1245,-,-,-,e,-,-,-,-,-,-,-,-,t,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
dibo1245,-,-,-,e,-,-,-,-,-,-,-,-,t,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
bomi1238,-,b,w,E,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-
yaka1272,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,u,-,-,-,-,-,-,u,-,-,-,-,-
ngom1268,-,-,-,e,-,-,-,-,-,-,-,-,y,-,-,-,-,u,-,-,-,-,-,-,m,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
bamw1238,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
ndol1238,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
bolo1263,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,g,y,o,o,-,-,m,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
budz1238,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
bwel1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,a,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,-,-,a,-,-,-,-,-
sode1235,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
kele1255,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mbol1247,-,b,u,u,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-,n,g,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
bata1285,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
beng1282,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
yasa1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,i,-,-,-,v,-,-,-,-,-,i,-,-,-,-,-,i,-,-,-,n,-,-,-,-,d,-,-,-,o,-,-,-,-,-,-,o,-,-,-,-,-
dual1243,-,-,-,-,-,-,-,-,-,-,-,-,d,-,i,-,w,i,-,-,i,n,-,-,d,-,i,i,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
mali1280,-,-,-,-,-,-,-,-,-,-,-,-,m,a,a,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,d,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,b,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,k,-,-,u,-,-,-,t,-,-,-,-,-,u,-,-,-,k,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
orok1266,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
mokp1239,-,-,-,-,-,-,-,-,-,-,-,-,m,-,m,-,b,a,-,-,-,-,-,-,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
ndas1238,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
wumb1242,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,S,-,-,-,-,-,-,u,-,-,-,-,-
sigh1238,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,i,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,u,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,i,-,-,-,-,-,-,i,-,-,-,-,-
osam1235,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,e,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
maho1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
kota1274,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
mwes1234,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
mban1268,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,a,-,-,-,-,-,-,N,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,t,-,-,-,u,-,-,-,k,-,-,u,-,-,-,-,-
