language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,e,-,N,-,g,-,-,e,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,e,-,-,e,-,n,-,g,-,e,e,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,e,-,-,e,-,n,-,g,-,e,e,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,e,-,-,e,-,n,-,g,-,e,e,-,-,-
mbos1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,e,-,-,e,-,n,-,g,-,e,e,-,-,-
koyo1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,e,-,-,e,-,n,-,g,-,e,e,-,-,-
koyo1242,-,-,e,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,e,-,-,e,-,N,-,g,-,e,e,-,-,-
mbok1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,e,-,-,e,-,n,-,g,-,e,e,-,-,-
akwa1248,-,-,m,-,-,-,-,-,-,-,b,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,n,d,z,-,o,o,-,-,-
maba1270,-,-,-,-,-,-,-,-,-,-,b,-,-,-,o,-,-,-,-,-,-,-,s,-,-,-,o,-,-,-,-,-,-,o,-,-,-
mong1338,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,o,-,n,-,g,-,-,i,-,-,-
bang1354,-,-,-,-,-,-,-,-,-,-,u,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,o,-,n,-,g,-,-,i,-,-,-
